Language,Title
en,Geometry
kbd,Геометрие
af,Meetkunde
gsw,Geometrie
am,ጂዎሜትሪ
anp,ज्यामिति
ar,هندسة رياضية
an,Cheometría
as,জ্যামিতি
ast,Xeometría
gn,Ysajarekokuaa
az,Həndəsə
azb,هندسه
bn,জ্যামিতি
nan,Kí-hô-ha̍k
ba,Геометрия
be,Геаметрыя
be-tarask,Геамэтрыя
bh,ज्यॉमेट्री
bcl,Heometriya
bi,Jiometri
bg,Геометрия
bo,དབྱིབས་རྩིས་རིག་པ།
bs,Geometrija
br,Mentoniezh
bxr,Геометри
ca,Geometria
cv,Геометри
cs,Geometrie
sn,Pimachisi
co,Geumitria
cy,Geometreg
da,Geometri
ary,تسطار
de,Geometrie
et,Geomeetria
el,Γεωμετρία
egl,Geometrî
myv,Геометрия
es,Geometría
eo,Geometrio
ext,Geometria
eu,Geometria
fa,هندسه
hif,Geometry
fo,Geometri
fr,Géométrie
ga,Geoiméadracht
gv,Towse-oaylleeaght
gd,Geoimeatras
gl,Xeometría
gan,幾何學
ki,Mũthunũrũrio (geometry)
gu,ભૂમિતિ
hak,Kí-hò-ho̍k
ko,기하학
hy,Երկրաչափություն
hi,ज्यामिति
hr,Geometrija
io,Geometrio
ilo,Heometria
id,Geometri
ia,Geometria
ie,Geometrie
zu,Umchazabukhulu
is,Rúmfræði
it,Geometria
he,גאומטריה
jv,Géomètri
kbp,Siiŋ lɩzʊʊ
kn,ರೇಖಾಗಣಿತ
ka,გეომეტრია
kk,Геометрия
kw,Mynsonieth
sw,Jiometri
ht,Jewometri
gcr,Jéométri
ku,Geometrî
ky,Геометрия
lo,ເລຂາຄະນິດ
la,Geometria
lv,Ģeometrija
lb,Geometrie
lt,Geometrija
nia,Geometris
lij,Geometria
li,Maetkónde
ln,Zomɛtɛlí
lfn,Jeometria
lg,Essomampimo (Geometry)
lmo,Geometrìa
hu,Geometria
mk,Геометрија
mg,Jeômetria
ml,ജ്യാമിതി
mt,Ġeometrija
mr,भूमिती
xmf,გეომეტრია
mnw,ဂေသြမေတြဳ
ms,Geometri
mwl,Geometrie
mdf,Геометриясь
mn,Геометр
my,ဂျီဩမေတြီ
fj,Geometry
nl,Meetkunde
ne,ज्यामिति
new,रेखागणित
ja,幾何学
frr,Geometrii
nb,Geometri
nn,Geometri
nov,Geometria
oc,Geometria
mhr,Геометрий
or,ଜ୍ୟାମିତି
om,Ji'oomeetirii
uz,Geometriya
pa,ਰੇਖਾ ਗਣਿਤ
pnb,جیومیٹری
ps,مېچپوهنه
jam,Jaamichri
km,ធរណីមាត្រ
pms,Geometrìa
nds,Geometrie
pl,Geometria
pt,Geometria
kaa,Geometriya
ro,Geometrie
qu,Pacha tupuy
rue,Ґеометрія
ru,Геометрия
sah,Геометрия
sco,Geometry
stq,Geometrie
sq,Gjeometria
scn,Giometrìa
si,ජ්‍යාමිතිය
en-simple,Geometry
sd,جاميٽري
sk,Geometria
sl,Geometrija
szl,Geometryjo
so,Joomitiri
ckb,ئەندازە
sr,Геометрија
sh,Geometrija
su,Élmu ukur
fi,Geometria
sv,Geometri
tl,Heometriya
ta,வடிவவியல்
kab,Tanzeggit
tt,Геометрия
te,రేఖాగణితం
th,เรขาคณิต
tg,Ҳандаса
chr,ᏗᏎᏍᏗ ᏓᏍᏓᏅᏅ
tr,Geometri
tk,Geometriýa
tyv,Геометрия
uk,Геометрія
ur,ہندسہ
za,Gijhozyoz
vec,Xiometria
vep,Geometrii
vi,Hình học
vro,Geomeetriä
lzh,幾何
war,Heyometriya
wuu,几何学
ts,Tinhlayo-vupimi
yi,געאמעטריע
yue,幾何學
diq,Geometri
sgs,Geuometrėjė
zh,几何学
