Language,Title
am,አቀበት
ar,تدرج (رياضيات)
az,Qradiyent
bn,গ্র্যাডিয়েন্ট
be,Градыент
be-tarask,Градыент
bg,Градиент
bs,Gradijent
ca,Gradient (matemàtiques)
cv,Градиент
cs,Gradient (matematika)
da,Gradient
de,Gradient (Mathematik)
et,Gradient
es,Gradiente
eo,Gradiento (matematiko)
eu,Gradiente
fa,گرادیان
fr,Gradient
ga,Grádán
gl,Gradiente
ko,기울기 (벡터)
hy,Գրադիենտ
io,Gradiento
id,Gradien
is,Stigull
it,Gradiente (funzione)
he,גרדיאנט
ka,გრადიენტი
kk,Градиент
ky,Градиент
lv,Gradients
lt,Gradientas
hu,Gradiens
ml,ഗ്രേഡിയന്റ്
nl,Gradiënt (wiskunde)
ja,勾配 (ベクトル解析)
nb,Gradient
nn,Gradient
uz,Gradiyent
pa,ਗ੍ਰੇਡੀਅੰਟ
pl,Gradient (matematyka)
pt,Gradiente
ro,Gradient
ru,Градиент
en-simple,Gradient
sk,Gradient (matematika)
sl,Gradient
sr,Gradijent
sh,Gradijent
fi,Gradientti
sv,Gradient (matematik)
tl,Gradient (kalkulong bektor)
tt,Градиент (математика)
th,เกรเดียนต์
tg,Градиент
tr,Gradyan
uk,Градієнт
vi,Gradient
wuu,梯度
yue,梯度
zh,梯度
