Language,Title
ar,مبرهنة غرين
ast,Teorema de Green
bs,Greenova teorema
ca,Teorema de Green
cv,Грин формули
cs,Greenova věta
de,Satz von Green
et,Greeni valem
es,Teorema de Green
eo,Teoremo de Green
fa,قضیه گرین
fr,Théorème de Green
gl,Teorema de Green
ko,그린 정리
hy,Գրինի բանաձևեր
hi,ग्रीन का प्रमेय
id,Teorema Green
is,Lögmál Greens
it,Teorema di Green
he,משפט גרין
lt,Gryno formulė
mk,Гринова теорема
nl,Stelling van Green
ja,グリーンの定理
nb,Greens teorem
km,ទ្រឹស្តីបទគ្រីន
pl,Twierdzenie Greena
pt,Teorema de Green
ru,Теорема Грина
sr,Гринова теорема
fi,Greenin teoreema
sv,Greens sats
th,ทฤษฎีบทของกรีน
tr,Green teoremi
uk,Теорема Гріна
vi,Định lý Green
zh,格林公式
