Language,Title
en,Group (mathematics)
af,Groep (wiskunde)
ar,زمرة (رياضيات)
bn,গ্রুপ (গণিত)
nan,Kûn (sò͘-ha̍k)
ba,Төркөм (математика)
be,Група (алгебра)
bg,Група (алгебра)
ca,Grup (matemàtiques)
cv,Ушкăн (математика)
cs,Grupa
cy,Grŵp (mathemateg)
da,Gruppe (matematik)
de,Gruppe (Mathematik)
et,Rühm (matemaatika)
el,Ομάδα
es,Grupo (matemática)
eo,Grupo (algebro)
eu,Talde (matematika)
fa,گروه (ریاضیات)
fr,Groupe (mathématiques)
ga,Grúpa (matamaitic)
gl,Grupo (matemáticas)
ko,군 (수학)
hy,Խումբ
hi,समूह (गणितशास्त्र)
hr,Grupa (matematika)
id,Grup (matematika)
ia,Gruppo (mathematica)
is,Grúpa
it,Gruppo (matematica)
he,חבורה (מבנה אלגברי)
ka,ჯგუფი (მათემატიკა)
kk,Топ (математика)
la,Caterva (mathematica)
lv,Grupa (matemātika)
lb,Grupp (Algeber)
lt,Grupė (algebra)
lmo,Grupp (matemàtica)
hu,Csoport (matematika)
mg,Vory (matematika)
ml,ഗ്രൂപ്പ്
mt,Grupp (matematika)
ms,Kumpulan (matematik)
nl,Groep (wiskunde)
ja,群 (数学)
frr,Skööl (Matematiik)
nb,Gruppe (matematikk)
nn,Matematisk gruppe
nov,Grupe (matematike)
oc,Grop (matematicas)
pnb,گروہ (ریاضی)
pms,Strop
pl,Grupa (matematyka)
pt,Grupo (matemática)
ro,Grup (matematică)
ru,Группа (математика)
scn,Gruppu (matimatica)
en-simple,Group (mathematics)
sk,Grupa (matematika)
sl,Grupa
szl,Grupa (matymatyka)
ckb,گرووپ (ماتماتیک)
sr,Група (математика)
sh,Grupa (matematika)
fi,Ryhmä (algebra)
sv,Grupp (matematik)
tl,Grupo (matematika)
ta,குலம் (கணிதம்)
th,กรุป (คณิตศาสตร์)
tg,Гурӯҳ (риёзиёт)
tr,Grup (matematik)
uk,Група (математика)
ur,گروہ (ریاضی)
vi,Nhóm (toán học)
vo,Grup
lzh,群 (代數)
vls,Groep (algebra)
wuu,群
yi,גרופע (מאטעמאטיק)
yue,羣
zh,群
