Language,Title
en,Group theory
ar,نظرية الزمر
an,Teoría de grupos
ast,Teoría de grupos
az,Qrup nəzəriyyəsi
nan,Kûn-lūn
ba,Төркөмдәр теорияһы
be,Тэорыя груп
be-tarask,Тэорыя групаў
bg,Теория на групите
bs,Teorija grupa
br,Damkaniezh ar strolloù
ca,Teoria de grups
cv,Ушкăнсен теорийĕ
cs,Teorie grup
cy,Damcaniaeth grwpiau
da,Gruppeteori
de,Gruppentheorie
el,Θεωρία ομάδων
es,Teoría de grupos
eo,Grupo-teorio
eu,Talde-teoria
fa,نظریه گروه‌ها
fr,Théorie des groupes
fur,Teorie dai grups
gl,Teoría de grupos
ko,군론
hi,समूह सिद्धांत
hr,Teorija grupa
id,Teori grup
ia,Theoria de gruppos
it,Teoria dei gruppi
he,תורת החבורות
ka,ჯგუფთა თეორია
la,Theoria catervarum
lv,Grupu teorija
hu,Csoportelmélet
ml,ഗ്രൂപ്പ് സിദ്ധാന്തം
ms,Teori kumpulan
nl,Groepentheorie
new,ग्रुप सिद्धान्त
ja,群論
nb,Gruppeteori
nn,Gruppeteori
pa,ਗਰੁੱਪ ਥਿਊਰੀ
pnb,ٹولی سوچ
pl,Teoria grup
pt,Teoria dos grupos
ro,Teoria grupurilor
rue,Теорія ґруп
ru,Теория групп
sco,Group theory
sq,Teoria e grupeve
en-simple,Group theory
sk,Teória grúp
sl,Teorija grup
ckb,تیۆریی گرووپ
sr,Теорија група
sh,Teorija grupa
fi,Ryhmäteoria
sv,Gruppteori
tl,Teorya ng grupo
ta,குலக் கோட்பாடு
th,ทฤษฎีกรุป
tr,Grup teorisi
uk,Теорія груп
ur,نظریۂ گروہ
vi,Lý thuyết nhóm
war,Teyorya grupo
wuu,群论
yi,גרופע טעאריע
yue,羣論
sgs,Gropiu teuorėjė
zh,群论
