Language,Title
ar,متسلسلة متناسقة (رياضيات)
bs,Harmonijski red (matematika)
ca,Sèrie harmònica
cs,Harmonická řada
da,Harmonisk række
de,Harmonische Reihe
es,Serie armónica (matemática)
eo,Harmona serio
eu,Serie harmoniko (matematika)
fa,سری هارمونیک
fr,Série harmonique
ko,조화급수
hy,Հարմոնիկ շարք
hi,हरात्मक श्रेणी
id,Deret harmonik (matematika)
is,Umhverfuröð
it,Serie armonica
he,הסדרה ההרמונית
kk,Гармоникалық қатар
lmo,Serie armonega
hu,Harmonikus sor
nl,Harmonische rij
ja,調和級数
nb,Harmonisk rekke
nn,Den harmoniske rekkja
uz,Garmonik qator
pl,Szereg harmoniczny
pt,Série harmónica (matemática)
ru,Гармонический ряд
en-simple,Harmonic series (mathematics)
sl,Harmonična vrsta
ckb,زنجیرەی ھارمۆنیک
fi,Harmoninen sarja
sv,Harmoniska serien
tt,Гармоник рәт
tr,Harmonik seriler
uk,Гармонічний ряд
zh,调和级数
