Language,Title
en,History of numbers
af,Getal
gsw,Zahl
am,ቁጥር
anp,संख्या
ang,Rīm
ar,عدد
an,Numero
arc,ܡܢܝܢܐ
hyw,Թիւ
rup,Numiru
frp,Nombro
as,সংখ্যা
ast,Númberu
atj,Akitasowin
gn,Papaha
az,Ədəd
azb,عدد
bn,সংখ্যা
bjn,Wilangan
nan,Sò͘-ba̍k
ba,Һан
be,Лік
be-tarask,Лік
bh,नंबर
bcl,Bilang
bg,Число
bar,Zoih
bo,གྲངས་ཀ།
bs,Broj
br,Niver
bxr,Тоо
ca,Nombre
cv,Хисеп
cs,Číslo
sn,Nhamba
cho,Hohltina
co,Numeru
cy,Rhif
dag,Kalinli
da,Tal
de,Zahl
dty,अंका
et,Arv
el,Αριθμός
egl,Nómmer
es,Número
eo,Nombro
ext,Númiru
eu,Zenbaki
fa,عدد
fo,Tal
fr,Nombre
fy,Getal
ff,Limle
ga,Uimhir
gd,Àireamh
gl,Número
gan,數
xal,Тойг
ko,수 (수학)
haw,Nā helu
hy,Թիվ
hi,संख्या
hr,Broj
io,Nombro
ilo,Numero
id,Bilangan
ia,Numero
os,Нымæц
xh,INANI
zu,Inombolo
is,Tala (stærðfræði)
it,Numero
he,מספר
jv,Wilangan (matématika)
kbp,Ñʊʊ (tʊʊzʊʊ)
kn,ಸಂಖ್ಯೆ
ka,რიცხვი
kk,Сан
kw,Niver
sw,Namba
ht,Nonm
gcr,Nomm
ku,Hejmar
lbe,Аьдад
lo,ຈຳນວນ
la,Numerus
lv,Skaitlis
lb,Zuel
lt,Skaičius
li,Getal
lfn,Numero
jbo,namcu
lg,Ennamba
lmo,Numer
hu,Szám
mai,अंक
mk,Број
mg,Isa
ml,സംഖ്യ
mr,संख्या
ms,Nombor
mwl,Númaro
mn,Тоо
my,ကိန်း
nah,Tlapohualli
fj,Naba
nl,Getal (wiskunde)
cr,ᐊᑭᐦᑖᓱᐣ
ne,अङ्क
new,ल्याः
ja,数
frr,Taal
nb,Tall
nn,Tal
nrf,Neunmétho
nov,Nombre
oc,Nombre
mhr,Шотпал
uz,Son
pa,ਅੰਕ
pnb,نمبر
ps,عدد
jam,Nomba
nds,Tahl
pl,Liczba
pt,Número
ro,Număr
qu,Yupay
rue,Чісло
ru,Число
sah,Ахсаан
sa,संख्याः
sg,Nömörö
nso,Nomoro
sq,Numri
scn,Nùmmuru
en-simple,Number
sd,انگ
sk,Číslo (matematika)
sl,Število
cu,Чисмѧ
szl,Nůmera
so,Tiro
ckb,ژمارە
sr,Број
sh,Broj
su,Wilangan
fi,Luku
sv,Tal
tl,Bilang
ta,எண்
shi,Amḍan
kab,Amḍan
nap-x-tara,Numere
tt,Сан
te,సంఖ్య
th,จำนวน
ti,ቁጽሪ
tg,Адад
tcy,ಸಂಖ್ಯೆ
tr,Sayı
tk,San
udm,Лыд
uk,Число
ur,عدد
vec,Nùmaro
vep,Lugu
vi,Số
vro,Arv
guc,Nuumerokana
lzh,數
war,Ihap
wuu,数
ts,Nomboro
yi,צאל
yo,Nọ́mbà
yue,數
sgs,Skaitlios
zh,数
