Language,Title
en,Hyperbola
af,Hiperbool
ar,قطع زائد
ast,Hipérbola
az,Hiperbola (riyaziyyat)
bn,অধিবৃত্ত
ba,Гипербола (математика)
be,Гіпербала (матэматыка)
be-tarask,Гіпэрбала (геамэтрыя)
bg,Хипербола
bs,Hiperbola
ca,Hipèrbola
cv,Гипербола (математика)
cs,Hyperbola
cy,Hyperbola
da,Hyperbel
de,Hyperbel (Mathematik)
et,Hüperbool
el,Υπερβολή (γεωμετρία)
es,Hipérbola
eo,Hiperbolo
eu,Hiperbola
fa,هذلولی
fr,Hyperbole (mathématiques)
ga,Hipearbóil
gl,Hipérbole (xeometría)
ko,쌍곡선
hy,Հիպերբոլ
hi,अति परवलय
hr,Hiperbola (krivulja)
id,Hiperbola (geometri)
is,Breiðbogi
it,Iperbole (geometria)
he,היפרבולה
ka,ჰიპერბოლა
ky,Гипербола математикада
la,Hyperbola
lv,Hiperbola
lt,Hiperbolė (matematika)
hu,Hiperbola (matematika)
mk,Хипербола
ml,അധിവലയം
nl,Hyperbool (meetkunde)
ja,双曲線
nb,Hyperbel
nn,Hyperbel
oc,Iperbòla (matematicas)
uz,Giperbola
km,អ៊ីពែបូល
pms,Ipérbol
pl,Hiperbola (matematyka)
pt,Hipérbole
ro,Hiperbolă
rue,Гипербола
ru,Гипербола (математика)
sco,Hyperbola
scn,Ipèrbuli (matimàtica)
en-simple,Hyperbola
sk,Hyperbola (matematika)
sl,Hiperbola
ckb,بڕگەی زیاد
sr,Хипербола
sh,Hiperbola
fi,Hyperbeli
sv,Hyperbel
ta,அதிபரவளைவு
th,ไฮเพอร์โบลา
tr,Hiperbol
uk,Гіпербола (математика)
vi,Hyperbol
lzh,雙曲線
wuu,双曲线
yue,雙曲綫
zh,双曲线
