Language,Title
en,Hyperbolic geometry
gsw,Hyperbolische Geometrie
ar,هندسة زائدية
ast,Xeometría hiperbólica
az,Lobaçevski həndəsəsi
bg,Хиперболична геометрия
ca,Geometria hiperbòlica
cv,Лобачевский геометрийĕ
cs,Hyperbolická geometrie
cy,Geometreg hyperbolig
de,Hyperbolische Geometrie
el,Υπερβολική γεωμετρία
es,Geometría hiperbólica
eo,Hiperbola geometrio
fa,هندسه هذلولوی
fr,Géométrie hyperbolique
ko,쌍곡기하학
id,Geometri hiperbolik
it,Geometria iperbolica
he,גאומטריה היפרבולית
lt,Hiperbolinė geometrija
hu,Hiperbolikus geometria
nl,Hyperbolische meetkunde
ja,双曲幾何学
nb,Hyperbolsk geometri
nn,Hyperbolsk geometri
uz,Lobachevskiy geometriyasi
pl,Geometria hiperboliczna
pt,Geometria hiperbólica
ro,Geometrie hiperbolică
ru,Геометрия Лобачевского
sq,Gjeometria e Llobaçevskit
en-simple,Hyperbolic geometry
sl,Hiperbolična geometrija
sr,Хиперболичка геометрија
sh,Hiperbolička geometrija
fi,Hyperbolinen geometria
sv,Hyperbolisk geometri
tg,Ҳандасаи Лобачевский
tr,Hiperbolik geometri
uk,Геометрія Лобачевського
vi,Hình học hyperbol
wuu,双曲几何
yue,雙曲幾何
zh,双曲几何
