Language,Title
en,ISBN (identifier)
af,ISBN
gsw,Internationale Standardbuchnummer
am,ዓለም-አቀፍ መደበኛ የመጽሐፍ ቁጥር
ar,النظام القياسي الدولي لترقيم الكتب
as,আন্তৰ্জাতিক মান গ্ৰন্থ সংখ্যা
ast,ISBN
gn,ISBN
az,ISBN
azb,میلتلرآراسی ایستاندارد کیتاب نومره‌سی
ban,International Standard Book Number
bn,আন্তর্জাতিক মান পুস্তক সংখ্যা
bjn,International Standard Book Number
nan,ISBN
ba,Халыҡ-ара стандарт китап номеры
be,Міжнародны стандартны кніжны нумар
be-tarask,Міжнародны стандартны кніжны нумар
bh,आईएसबीएन
bg,Международен стандартен номер на книга
bar,International Standard Book Number
bs,International Standard Book Number
br,ISBN
ca,ISBN
cs,International Standard Book Number
ny,ISBN
tum,ISBN
cy,Rhif Llyfr Safonol Rhyngwladol
da,Internationalt Standardbognummer
ary,الرقم الدولي المعياري ديال الكتاب
de,Internationale Standardbuchnummer
et,Rahvusvaheline raamatu standardnumber
el,Διεθνής πρότυπος αριθμός βιβλίου
es,ISBN
eo,ISBN
eu,International Standard Book Number
fa,شماره استاندارد بین‌المللی کتاب
fo,ISBN
fr,International Standard Book Number
fy,ISBN
ga,Leabharuimhir Chaighdeánach Idirnáisiúnta
gl,ISBN
gu,ઇન્ટરનેશનલ સ્ટાન્ડર્ડ બુક નંબર
ko,국제표준도서번호
hy,Գրքի միջազգային ստանդարտ համար
hi,अंतर्राष्ट्रीय मानक पुस्तक संख्या
hr,Međunarodni standardni knjižni broj
io,ISBN
ig,ISBN
ilo,International Standard Book Number
id,ISBN
is,ISBN
it,ISBN
he,"מסת""ב"
jv,ISBN
kn,ಅಂತರಾಷ್ಟ್ರೀಯ ದರ್ಜೆಯ ಪುಸ್ತಕ ಸಂಖ್ಯೆ
ka,წიგნის საერთაშორისო სტანდარტული ნომერი
ks,بَین الاقوٲمی معیار کِتاب نَمبَر
kk,ISBN
sw,Namba sanifu ya kimataifa ya vitabu
ht,International Standard Book Number
ku,ISBN
ky,International Standard Book Number
lo,ເລກມາຕະຖານສາກົນປະຈຳປຶ້ມ
la,Numerus librarius internationalis unificatus
lv,ISBN
lb,ISBN
lt,ISBN
lij,ISBN
lmo,ISBN
hu,ISBN
mai,आइएसबिएन
mk,ISBN
ml,ഇന്റർനാഷണൽ സ്റ്റാൻഡേർഡ് ബുക്ക് നമ്പർ
mt,ISBN
mr,आंतरराष्ट्रीय प्रमाणित पुस्तक क्रमांक
arz,رقم دولى معيارى للكتاب
mzn,شابک
ms,International Standard Book Number
min,International Standard Book Number
cdo,Guók-cié biĕu-cūng cṳ̆-hô̤
mdf,ISBN
my,International Standard Book Number
pcm,ISBN (identifier)
nl,Internationaal Standaard Boeknummer
ne,आइएसबिएन
ja,ISBN
nb,ISBN
nn,ISBN
oc,ISBN
or,ଇଣ୍ଟରନ୍ୟାସନାଲ ଷ୍ଟାଣ୍ଡାର୍ଡ଼ ବୁକ ନମ୍ବର
uz,ISBN
pa,ਇੰਟਰਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਬੁੱਕ ਨੰਬਰ
pnb,بین الاقوامی معیاری کتاب نمبر
blk,ISBN (identifier)
pap,International Standard Book Number
ps,د کتاب نړيواله کره شمېره
km,លេខសៀវភៅស្តង់ដារអន្តរជាតិ
pl,Międzynarodowy znormalizowany numer książki
pt,International Standard Book Number
ro,International Standard Book Number
rue,ISBN
ru,Международный стандартный книжный номер
sa,अन्ताराष्ट्रियमानकपुस्तकसङ्ख्या
sc,ISBN
sco,International Standard Book Number
sq,ISBN
si,ජාත්‍යන්තර සම්මත පොත් අංකය
en-simple,International Standard Book Number
sd,عالمي معياري ڪتاب نمبر
sk,Medzinárodné štandardné číslo knihy
sl,Mednarodna standardna knjižna številka
szl,International Standard Book Number
so,International Standard Book Number
ckb,ژمارەی پێوانەییی نێودەوڵەتیی کتێب
sr,Međunarodni standardni knjižni broj
sh,ISBN
su,Nomer Buku Standar Internasional
fi,ISBN
sv,ISBN
tl,Pandaigdigang Pamantayang Bilang ng Aklat
ta,பன்னாட்டுத் தரப்புத்தக எண்
kab,ISBN
shn,International Standard Book Number
te,ఐఎస్‌బిఎన్
tet,Introdusaun Mikrotik
th,เลขมาตรฐานสากลประจำหนังสือ
tg,Стандарти байналмилалии рақамгузории китоб
tr,Uluslararası Standart Kitap Numarası
tk,ISBN
uk,ISBN
ur,بین الاقوامی معیاری کتابی عدد
vec,ISBN
vi,ISBN
war,ISBN
wuu,国际标准书号
ts,ISBN
yi,ISBN
yo,ISBN
yue,國際標準書號
zh,国际标准书号
