Language,Title
en,Identity (mathematics)
ar,متطابقة رياضية
bn,অভেদ
nan,Hêng-téng-sek
bg,Тъждество
ca,Identitat
cv,Çавахлăх (математика)
cy,Unfathiant
de,Identitätsgleichung
et,Samasus (matemaatika)
el,Αλγεβρικές ταυτότητες
es,Identidad (matemática)
eo,Idento (matematiko)
eu,Identitate (matematika)
fa,اتحاد (ریاضیات)
fr,Identité (mathématiques)
gl,Identidade (matemáticas)
ko,항등식
hy,Նույնություն (մաթեմատիկա)
hi,गणितीय सर्वसमिका
id,Identitas (matematika)
it,Identità (matematica)
he,זהות (מתמטיקה)
lfn,Identia (matematica)
ms,Identiti (matematik)
nl,Identiteit (wiskunde)
ja,恒等式
nn,Identitet i matematikk
pt,Identidade (matemática)
ru,Тождество (математика)
en-simple,Identity (mathematics)
sv,Identitet (matematik)
ta,முற்றொருமை (கணிதம்)
tg,Айният (математика)
tr,Özdeşlik
uk,Тотожність
vi,Đồng nhất thức
lzh,恆等式
zh,恒等式
