Language,Title
en,Identity (philosophy)
ar,الهوية (فلسفة)
ca,Identitat (filosofia)
da,Identitet
de,Identität
es,Identidad (filosofía)
eo,Identeco (filozofio)
eu,Nortasun (filosofia)
fa,این‌همانی
fr,Identité (philosophie)
hy,Նույնության փիլիսոփայություն
zu,Ubuhlonzi (kwinjulalwazi)
it,Identità (filosofia)
kk,Идентити (философия)
ms,Identiti (falsafah)
ja,同一性
nb,Identitet
pl,Tożsamość (logika)
pt,Identidade (filosofia)
ru,Тождество (философия)
en-simple,Identity (philosophy)
fi,Identiteetti (filosofia)
sv,Identitet (filosofi)
tr,Kimlik (felsefe)
uk,Ідентичність (філософія)
vi,Bản thể (triết học)
zh,同一性
