Language,Title
en,Identity element
ar,عنصر محايد
ast,Elementu neutru
bg,Неутрален елемент
bs,Neutralni element
ca,Element neutre
cs,Neutrální prvek
da,Neutralt element
de,Neutrales Element
et,Ühikelement
el,Ουδέτερο στοιχείο
es,Elemento neutro
eo,Neŭtrala elemento (matematiko)
eu,Elementu neutro
fa,عنصر همانی
fr,Élément neutre
gl,Elemento neutro
ko,항등원
hr,Neutralni element
id,Unsur identitas
ia,Elemento neutre
is,Hlutleysa
it,Elemento neutro
he,איבר יחידה
lmo,Element neuter
hu,Neutrális elem
ml,തൽസമകം
nl,Neutraal element
ja,単位元
frr,Neutraal element
nn,Identitetselement
pl,Element neutralny
pt,Elemento neutro
ro,Element neutru
ru,Нейтральный элемент
en-simple,Identity element
sk,Neutrálny prvok
sl,Nevtralni element
sr,Неутрал
sh,Neutral (matematika)
fi,Neutraalialkio
sv,Neutralt element
ta,முற்றொருமை உறுப்பு
th,สมาชิกเอกลักษณ์
tr,Birim öge
uk,Нейтральний елемент
vi,Phần tử đơn vị
yi,נייטראלער עלעמענט
yue,單位元
zh,單位元
