Language,Title
en,Identity function
ar,دالة مطابقة
bs,Funkcija identiteta
ca,Funció identitat
cv,Çавахла функци
cs,Identita (matematika)
co,Funzioni idantità
da,Identitetsfunktion
de,Identische Abbildung
et,Samasusteisendus
el,Ταυτοτική συνάρτηση
es,Función identidad
eo,Identa funkcio
eu,Identitate funtzio
fa,تابع همانی
fr,Application identité
gl,Función identidade
ko,항등 함수
hi,तत्समक फलन
hr,Funkcija identiteta
id,Fungsi identitas
is,Samsemdarvörpun
it,Funzione identità
he,פונקציית הזהות
lmo,Aplicaziun identica
nl,Identieke afbeelding
ne,एकात्मक फलन
ja,恒等写像
pl,Funkcja tożsamościowa
pt,Função identidade
ro,Identitate (matematică)
ru,Тождественное отображение
sl,Identična funkcija
fi,Identiteettifunktio
sv,Identitetsfunktion
ta,முற்றொருமைச் சார்பு
th,ฟังก์ชันเอกลักษณ์
tr,Birim fonksiyon
uk,Тотожне відображення
vi,Hàm đồng nhất
yue,恆等函數
zh,恆等函數
