Language,Title
en,If and only if
ar,إذا وفقط إذا
nan,Nā kiam ta nā
bg,"Тогава и само тогава, когато"
ca,Si i només si
cy,Os ac yn unig os
da,Biimplikation
et,"Parajasti siis, kui"
el,Αν και μόνο αν
es,Bicondicional
eo,Se kaj nur se
eu,Inplikazio bikoitz
fa,اگر و تنها اگر
hi,यदि और केवल यदि
hr,Akko
io,Se e nur se
id,Jika dan hanya jika
ia,Si e solmente si
is,Eff
it,Se e solo se
he,אם ורק אם
kk,Егер тек егер
lt,Tada ir tik tada (teiginys)
lmo,Se e domà se
hu,Bikondicionális
mk,Ако и само ако
nl,Dan en slechts dan als
ja,同値
nn,Viss og berre viss
pa,ਜੇ ਅਤੇ ਸਿਰਫ ਜੇ
pl,Równoważność
pt,Se e somente se
ro,Dacă și numai dacă
ru,Тогда и только тогда
en-simple,If and only if
sr,Ако и само ако
sh,Ako i samo ako
fi,Jos ja vain jos
sv,Om och endast om
th,ก็ต่อเมื่อ
tr,Ancak ve ancak
uk,Тоді й лише тоді
ur,اگر بشرط اگر
vi,Khi và chỉ khi
yue,若且唯若
zh,当且仅当
