Language,Title
ar,دالة ضمنية
bs,Implicitna jednačina
ca,Funció implícita
cv,Куçкĕретĕн мар функци
el,Άρρητη συνάρτηση
es,Función implícita
eu,Funtzio inplizitu
fa,تابع ضمنی
fr,Fonction implicite
ko,음함수와 양함수
hi,अस्पष्ट समीकरण
id,Fungsi implisit
is,Fólgið fall
it,Funzione implicita
he,פונקציה סתומה
kk,Айқындалмаған функция
ky,Айкын эмес функция
lv,Netieša funkcija
nl,Impliciete functie
ja,陰関数
pl,Funkcja uwikłana
pt,Função implícita
ru,Неявная функция
ckb,فانکشنی خۆبەخۆ
sv,Implicit funktion
uk,Неявна функція
zh,隐函数
