Language,Title
en,Indeterminate form
ar,صيغة غير محددة
ca,Forma indeterminada
cv,Паллăмарлăхсенчен хăтăлни
de,Unbestimmter Ausdruck (Mathematik)
es,Forma indeterminada
fa,شکل نامعلوم
fr,Forme indéterminée
ko,부정형
hi,अनिर्धार्य रूप
id,Bentuk tak tentu
it,Forma indeterminata
pl,Symbol nieoznaczony
pt,Forma indeterminada
ro,Nedeterminare
ru,Раскрытие неопределённостей
fi,Epämääräinen muoto
sv,Obestämd form (matematik)
ta,தேரப்பெறா வடிவம்
tr,Belirsiz form
uk,Розкриття невизначеностей
yue,不定式
zh,不定式 (數學)
