Language,Title
en,Inequality (mathematics)
gsw,Ungleichung
ar,متباينة (جبر)
ast,Desigualdá matemática
bn,অসমতা
ba,Тигеҙһеҙлек
be,Няроўнасць
be-tarask,Няроўнасьць
bs,Nejednakost
ca,Desigualtat matemàtica
cv,Танмарлăх
cs,Nerovnost (matematika)
da,Ulighed (matematik)
de,Ungleichung
et,Võrratus
el,Ανισότητα (μαθηματικά)
egl,Diśugvagliàṅsa (matemàtica)
es,Desigualdad matemática
eo,"Neegalaĵo (pli granda, malpli granda)"
eu,Desberdintza
fa,نامساوی (ریاضیات)
fr,Inégalité (mathématiques)
ko,부등식
hy,Անհավասարություն (մաթեմատիկա)
hi,असमिका
hr,Nejednadžba
io,Neegaleso
id,Pertidaksamaan
ia,Inequalitate (mathematica)
xh,Ukungalingani (ngokwezibalo)
it,Disuguaglianza
kn,ಅಸಮೀಕರಣ
kk,Теңсіздіктер
ky,Барабарсыздык
lo,ອະສົມຜົນ
la,Inaequatio
lv,Nevienādība
lfn,Nonegalia (matematica)
hu,Egyenlőtlenség (matematika)
mk,Неравенство
ms,Ketaksamaan
nl,Ongelijkheid (wiskunde)
ja,不等式
nb,Ulikhet (matematikk)
nn,Ulikskap i matematikk
km,វិសមភាពស្វ័យគុណ
pl,Nierówność
pt,Desigualdade
ro,Inegalitate
ru,Неравенство
en-simple,Inequality
sk,Nerovnosť
sl,Neenačba
ckb,نایەکسانی
sr,Неједнакост
sh,Nejednakost
fi,Epäyhtälö
sv,Olikhet
ta,சமனிலி (கணிதம்)
th,อสมการ
tr,Eşitsizlikler
uk,Нерівність
ur,نامساوات
vi,Bất đẳng thức
war,Pagkadirikapatas (matematika)
wuu,弗等
yi,אומגלייכהייט
yue,不等式
zh,不等
