Language,Title
en,Inference
ar,استدلال (بحث علمي)
ast,Inferencia
az,Nəticəçıxarma
bg,Разсъждение
bs,Zaključak
br,Poellata
ca,Inferència
da,Inferens
de,Schlussfolgerung
et,Järeldus (traditsiooniline loogika)
es,Inferencia
eo,Inferenco
eu,Inferentzia (logika)
fa,استنباط
fr,Inférence (logique)
ko,추론
hy,Մտահանգում
hi,अनुमान (तर्क)
hr,Zaključak
id,Kesimpulan
it,Inferenza
he,היסק
kk,Тұжырымдау
la,Argumentatio
lt,Išvada
jbo,ni'icpa
nl,Gevolgtrekking
ja,推論
uz,Xulosa chiqarish
pa,ਮੰਤਕੀ ਅਨੁਮਾਨ
pnb,استدلال
nds,Sluss (Logik)
pl,Wnioskowanie
pt,Inferência
ro,Inferență
ru,Вывод (рассуждение)
sk,Dôsledok
ckb,ئاکامگری
sr,Закључивање
fi,Päättely
sv,Slutledning
tl,Imperensiya
ta,அனுமானம்
th,การอนุมาน
tr,Sonuç çıkarma
uk,Висновок
ur,استدلال
vi,Suy luận
wuu,推理
yue,推理
zh,推理
