Language,Title
en,Integer
af,Heelgetal
gsw,Ganze Zahl
anp,पूर्ण संख्या
ar,عدد صحيح
an,Numero entero
hyw,Ամբողջ թիւ
as,অখণ্ড সংখ্যা
ast,Númberu enteru
az,Tam ədədlər
bn,পূর্ণ সংখ্যা
nan,Chéng-sò͘
ba,Бөтөн һан
be,Цэлы лік
be-tarask,Цэлы лік
bcl,Integer
bg,Цяло число
bs,Cijeli broj
br,Kevan daveel
ca,Nombre enter
cv,Тулли хисеп
cs,Celé číslo
sn,Nhamba mhumburu
cy,Cyfanrif
da,Heltal
de,Ganze Zahl
et,Täisarv
el,Ακέραιος αριθμός
es,Número entero
eo,Entjero
eu,Zenbaki oso
fa,عدد صحیح
fo,Heiltal
fr,Entier relatif
ga,Slánuimhir
gl,Número enteiro
inh,БӀарчча таьрахь
gan,整數
gu,પૂર્ણાંક સંખ્યાઓ
xal,Бүкл тойг
ko,정수
haw,Helu piha
hy,Ամբողջ թիվ
hi,पूर्णांक
hsb,Cyła ličba
hr,Cijeli broj
io,Integro
id,Bilangan bulat
ia,Numero integre
xh,I-integer
is,Heiltölur
it,Numero intero
he,מספר שלם
jv,Wilangan bulat
ka,მთელი რიცხვი
kk,Бүтін сан
sw,Nambakamili
gcr,Antyé rélatif
ku,Tamhejmar
ky,Бүтүн сандар
lo,ຈຳນວນຖ້ວນ
la,Numerus integer
lv,Vesels skaitlis
lb,Ganz Zuel
lt,Sveikasis skaičius
li,Gans getal
lfn,Numero intera
jbo,mulna'u
lmo,Numer intreg
hu,Egész számok
mk,Цел број
mg,Isa tsimivaky
ml,പൂർണ്ണസംഖ്യ
mr,पूर्ण संख्या
ms,Integer
mwl,Númaro anteiro
mn,Бүхэл тоо
fj,Integer
nl,Geheel getal
ja,整数
frr,Hial taal
nb,Heltall
nn,Heiltal
oc,Nombre entièr
om,Lakkoofsa Intiijarii
uz,Butun sonlar
pa,ਪੂਰਨ ਸੰਖਿਆ
pnb,انٹیجر
jam,Intiga
pms,Nùmer antregh
nds,Hele Tall
pl,Liczby całkowite
pt,Número inteiro
ro,Număr întreg
ru,Целое число
nso,Integer
sq,Numrat e plotë
scn,Nùmmuru rilativu
si,නිඛිල
en-simple,Integer
sk,Celé číslo
sl,Celo število
szl,Cołkowito nůmera
so,Abyoone
ckb,ژمارەی تەواو
sr,Цео број
sh,Cijeli broj
fi,Kokonaisluku
sv,Heltal
tl,Buumbilang
ta,முழு எண்
te,పూర్ణ సంఖ్య
th,จำนวนเต็ม
tg,Ададҳои бутун
tr,Tam sayı
tk,Bitin sanlar
uk,Цілі числа
ur,صحیح عدد
vi,Số nguyên
vro,Terveharv
lzh,整數
vls,Gehêel getal
war,Buok
wuu,整数
yi,גאנצע צאל
yo,Nọ́mbà odidi
yue,整數
sgs,Svēkasės skaitlios
zh,整数
