Language,Title
en,Integral domain
ar,مجال تكاملي
ca,Anell íntegre
cs,Obor integrity
de,Integritätsring
et,Integriteetkond
el,Ακέραια περιοχή
es,Dominio de integridad
eo,Integreca ringo
fa,حوزه صحیح
fr,Anneau intègre
ga,Slánfhearann
ko,정역
id,Ranah integral
ia,Anello de integritate
it,Dominio d'integrità
he,תחום שלמות
hu,Integritástartomány
nl,Integriteitsgebied
ja,整域
nn,Integritetsområde
pl,Dziedzina całkowitości
pt,Domínio de integridade
ro,Domeniu de integritate
ru,Область целостности
sk,Obor integrity
fi,Kokonaisalue
sv,Integritetsområde
ta,முழு ஆட்களம்
tr,Tamlık bölgesi
uk,Область цілісності
vi,Miền nguyên
yue,域 (數學)
zh,整环
