Language,Title
am,አጠራቃሚ
ar,تكامل
an,Integración
ast,Integración
az,İnteqral
azb,انتقرال
bn,সমাকলন
nan,Chek-hun
ba,Интеграл
be,Інтэграл
bg,Интеграл
bs,Integral
ca,Integració
cv,Интеграл
cs,Integrál
cy,Integryn
de,Integral
et,Integraal
el,Ολοκλήρωμα
es,Integración
eo,Integralo
eu,Integral
fa,انتگرال
fr,Intégration (mathématiques)
gl,Integral
gu,સંકલન
hak,Chit-fûn-ho̍k
ko,적분
hy,Ինտեգրալ
hi,समाकलन
hr,Integral
io,Integralo
id,Integral
is,Heildun
it,Integrale
he,אינטגרל
kn,ಅನುಕಲನಶಾಸ್ತ್ರ
ka,ინტეგრალი
kk,Интеграл
ht,Entegrasyon (matematik)
ku,Întegral
ky,Интеграл
la,Integrale
lv,Integrālis
lt,Integralas
lmo,Integral
hu,Integrál
ml,സമാകലനം
mt,L-Integral
mr,संकलन
ms,Kamiran
mn,Интеграл
my,အင်တီဂရေးရှင်း
nl,Integraal
ja,積分法
nb,Integrasjon
nn,Integral
oc,Integracion
uz,Integral
pnb,انٹیگرل
km,អាំងតេក្រាល
pl,Całka
pt,Integral
ro,Integrală
ru,Интеграл
sco,Integral
sq,Integrali
scn,Intiggrali
en-simple,Integral
sk,Integrál
sl,Integral
ckb,تەواوکاری
sr,Интеграл
sh,Integral
su,Integral
fi,Integraali
sv,Integral
ta,தொகையீடு
tt,Интеграл
th,ปริพันธ์
tr,İntegral
uk,Інтеграл
ur,تکامل
vec,Integral
vi,Tích phân
wa,Riveye
wuu,定积分
yue,積分
diq,İntegral
zh,积分
