Language,Title
ar,تحويل تكاملي
cs,Integrální transformace
de,Integraltransformation
et,Integraalteisendus
es,Transformada integral
eo,Integrala transformo
eu,Transformatu integral
fa,تبدیل انتگرالی
fr,Transformation intégrale
gl,Transformada integral
ko,적분 변환
it,Trasformata integrale
nl,Integraaltransformatie
ja,積分変換
pt,Transformada integral
ru,Интегральные преобразования
sq,Transformimi integral
sl,Integralska transformacija
th,การแปลงเชิงปริพันธ์
uk,Інтегральне перетворення
vi,Biến đổi tích phân
zh,积分变换
