Language,Title
ar,تكامل بالتجزئة
bg,Интегриране по части
bs,Parcijalna integracija
ca,Integració per parts
cs,Integrace per partes
cy,Integru fesul rhan
da,Delvis integration
de,Partielle Integration
es,Métodos de integración
fa,انتگرال‌گیری جزء به جزء
fr,Intégration par parties
ko,부분 적분
hy,Մասերով ինտեգրում
hi,खंडशः समाकलन
hr,Metoda parcijalne integracije
id,Integrasi parsial
is,Hlutheildun
it,Integrazione per parti
he,אינטגרציה בחלקים
hu,Parciális integrálás
mk,Интегрирање по делови
nl,Partiële integratie
ja,部分積分
km,អាំងតេក្រាលដោយផ្នែក
pl,Całkowanie przez części
pt,Integração por partes
ro,Integrare prin părți
ru,Интегрирование по частям
sq,Integrimi me pjesë
sk,Metóda integrovania per partes
szl,Cołkowańy bez tajle
ckb,تەواوکاری بە بەشکردن
sh,Parcijalna integracija
fi,Osittaisintegrointi
sv,Partialintegration
tl,Integrasyon ng mga bahagi
th,การหาปริพันธ์ทีละส่วน
uk,Інтегрування частинами
vi,Tích phân từng phần
zh,分部積分法
