Language,Title
ar,تكامل بالتعويض
ca,Integració per canvi de variable
cs,Substituční metoda (integrování)
de,Integration durch Substitution
es,Métodos de integración
fr,Intégration par changement de variable
ko,치환 적분
hi,प्रतिस्थापन द्वारा समाकलन
id,Integral substitusi
is,Heildun með innsetningu
it,Integrazione per sostituzione
he,אינטגרציה באמצעות החלפת משתנים
hu,Helyettesítéses integrálás
mk,Интегрирање со смена на променливата
nl,Integratie door substitutie
ja,置換積分
km,អាំងតេក្រាលប្តូរអថេរ
pl,Całkowanie przez podstawienie
pt,Integração por substituição
ro,Integrare prin schimbare de variabilă
en-simple,Integration by substitution
szl,Cołkowańy bez podstawjyńy
sr,Metoda supstitucije
fi,Sijoitusmenetelmä
sv,Integration genom substitution
tl,Integrasyon sa substitusyon
vi,Phép đổi biến tích phân
zh,换元积分法
