Language,Title
en,Intersection (set theory)
am,የጋራ ስብስብ
ar,تقاطع (نظرية المجموعات)
ast,Interseición de conxuntos
be,Перасячэнне мностваў
be-tarask,Перасячэньне мностваў
bg,Сечение (теория на множествата)
ca,Intersecció
cs,Průnik
co,Intarsizzioni
cy,Croestoriad setiau
de,Schnittmenge
et,Ühisosa
el,Τομή συνόλων
es,Intersección de conjuntos
eo,Komunaĵo
eu,Ebaketa (multzo-teoria)
fa,اشتراک (نظریه مجموعه‌ها)
fr,Intersection (mathématiques)
xal,Амдалһан
ko,교집합
hi,सर्वनिष्ठ (समुच्चय सिद्धान्त)
hr,Presjek skupova
id,Irisan (teori himpunan)
ia,Intersection (theoria de insimules)
is,Sniðmengi
it,Intersezione (insiemistica)
he,חיתוך (מתמטיקה)
kk,Қиылысу
lmo,Intersezion (insemma)
hu,Metszet (halmazelmélet)
mk,Пресек (теорија на множества)
nl,Doorsnede (verzamelingenleer)
ja,共通部分 (数学)
nb,Snitt (mengdelære)
nn,Snitt i matematikk
pms,Antërsession
pl,Część wspólna
pt,Interseção
ro,Intersecție (matematică)
ru,Пересечение множеств
sk,Prienik (matematika)
sl,Presek množic
sr,Пресек (теорија скупова)
fi,Leikkaus (matematiikka)
sv,Snitt
tl,Salubungan (matematika)
ta,வெட்டு (கணக் கோட்பாடு)
th,อินเตอร์เซกชัน
tr,Kesişme özelliği
uk,Перетин множин
vi,Phép giao
vro,Ütine osa
lzh,交集
wuu,交集
yue,交集
zh,交集
