Language,Title
en,Interval (mathematics)
ar,مجال فاصل (رياضيات)
az,Ədədi aralıqlar
be-tarask,Адцінак
bg,Интервал (математика)
bs,Interval (matematika)
ca,Interval (matemàtiques)
cv,Хушăк (математика)
cs,Interval (matematika)
cy,Cyfwng
da,Interval (matematik)
de,Intervall (Mathematik)
et,Intervall (matemaatika)
el,Διάστημα (μαθηματικά)
es,Intervalo (matemática)
eo,Intervalo (matematiko)
eu,Tarte (matematika)
fa,بازه
fr,Intervalle (mathématiques)
fur,Interval (matematiche)
ga,Eatramh (matamaitic)
gl,Intervalo (matemáticas)
xal,Завсар (Математика)
ko,구간
hy,Միջակայք (մաթեմատիկա)
hi,अंतराल (गणित)
hr,Interval (matematika)
io,Intervalo (matematiko)
id,Selang (matematika)
is,Bil (stærðfræði)
it,Intervallo (matematica)
he,קטע (מתמטיקה)
kk,Интервал
la,Intervallum (mathematica)
lv,Intervāls (matemātika)
lt,Intervalas (matematika)
hu,Intervallum
mk,Интервал (математика)
nl,Interval (wiskunde)
ja,区間 (数学)
nb,Intervall (matematikk)
nn,Intervall i matematikk
uz,Interval
pl,Przedział (matematyka)
pt,Intervalo (matemática)
ro,Interval (matematică)
ru,Промежуток (математика)
sco,Interval (mathematics)
en-simple,Interval (mathematics)
sk,Interval (matematika)
sl,Interval (matematika)
ckb,ماوە (ماتماتیک)
sr,Интервал (математика)
sh,Interval (matematika)
su,Interval (matematika)
fi,Väli
sv,Intervall (matematik)
ta,இடைவெளி (கணிதம்)
th,ช่วง (คณิตศาสตร์)
uk,Проміжок (математика)
ur,وقفہ (ریاضی)
vi,Khoảng (toán học)
lzh,區間
wuu,区间
yue,間距
zh,區間
