Language,Title
en,Invertible element
ar,عنصر معاكس
bg,Обратен елемент
ca,Element invers
cv,Кутăнла элемент
cs,Inverzní prvek
de,Inverses Element
el,Αντίστροφος
es,Elemento simétrico
eo,Inversa elemento
eu,Alderantzizko elementu
fa,عنصر وارون
fr,Élément symétrique
ko,역원
hr,Inverzni element
id,Elemen invers
ia,Elemento inverse
it,Elemento inverso
he,איבר הופכי
lt,Atvirkštinis elementas
nl,Inverse element
ja,逆元
frr,Inwers element
pl,Element odwrotny
pt,Elemento inverso
ro,Element simetric
ru,Обратный элемент
en-simple,Inverse element
sk,Inverzný prvok
sl,Inverzni element
sr,Инверз (математика)
sh,Inverz (matematika)
fi,Käänteisalkio
sv,Inverst element
ta,நேர்மாறு உறுப்பு
uk,Обернений елемент
vi,Phần tử nghịch đảo
yue,逆元
zh,逆元素
