Language,Title
en,Involution (mathematics)
ar,دالة ارتدادية
ca,Involució
cs,Involuce (matematika)
cy,Infolytedd
de,Involution (Mathematik)
et,Involutsioon (matemaatika)
es,Involución (matemática)
eo,Involucio
fa,پیچش (ریاضیات)
fr,Involution (mathématiques)
ko,대합 (수학)
ia,Involution
is,Sjálfhverfa
it,Involuzione (teoria degli insiemi)
he,אינוולוציה (מתמטיקה)
nl,Involutie (wiskunde)
ja,対合
nn,Involusjon i matematikk
pms,Anvolussion
pl,Inwolucja (matematyka)
pt,Involução (matemática)
ro,Involuție (matematică)
ru,Инволюция (математика)
sk,Involúcia (matematika)
sl,Involucija (matematika)
sr,Инволуција (математика)
sv,Involution (matematik)
ta,சுருள்வு (கணிதம்)
th,อาวัตนาการ
uk,Інволюція (математика)
vi,Hàm số tự nghịch đảo
zh,對合
