Language,Title
ar,مصفوفة ياكوبية
be,Матрыца Якобі
ca,Jacobià
cs,Jacobiho matice a determinant
de,Jacobi-Matrix
el,Πίνακας Τζακόμπι
es,Matriz y determinante jacobianos
eo,Jakobia matrico
fa,ماتریس ژاکوبی
fr,Matrice jacobienne
ko,야코비 행렬
id,Matriks Jacobi
is,Jacobi-fylki
it,Matrice jacobiana
he,יעקוביאן
hu,Jacobi-mátrix
nl,Jacobi-matrix
ja,ヤコビ行列
nb,Jacobimatrise
pl,Macierz Jacobiego
pt,Matriz jacobiana
ru,Матрица Якоби
sl,Jacobijeva matrika in determinanta
sr,Јакобијан
fi,Jacobin matriisi
sv,Jacobimatris
tr,Jacobi matrisi
uk,Матриця Якобі
vi,Ma trận Jacobi
zh,雅可比矩阵
