Language,Title
en,Jordan normal form
ar,شكل جوردن المخروطي
ca,Forma canònica de Jordan
cs,Jordanova normální forma
de,Jordansche Normalform
es,Forma canónica de Jordan
eo,Jordana normala formo
fr,Réduction de Jordan
gl,Forma canónica de Jordan
ko,조르당 표준형
it,Forma canonica di Jordan
he,צורת ז'ורדן
hu,Jordan-féle normálforma
nl,Jordan-normaalvorm
ja,ジョルダン標準形
pl,Postać Jordana
pt,Forma canônica de Jordan
fi,Jordanin perusmuoto
sv,Jordans normalform
uk,Жорданова нормальна форма
vi,Phép khử Gauss-Jordan
zh,若尔当标准型
