Language,Title
en,King James Version
ar,نسخة الملك جيمس
hyw,Ճէյմս Թագաւորին Աստուածաշունչը
az,Kral Ceymsin Bibliyası
bn,কিং জেমস সংস্করণ
nan,Khim-tēng-pún
be,Біблія караля Якава
be-tarask,Біблія караля Якуба
bg,Библия на крал Джеймс
ca,Bíblia del rei Jaume
ceb,Authorized King James Version
cs,Bible krále Jakuba
da,King James Version
de,King-James-Bibel
es,Biblia del rey Jacobo
eo,Versio Rajtigita de la Reĝo Jakobo
fa,نسخه شاه جیمز
fr,Bible du roi Jacques
gl,Biblia do rei Xacobe
ko,킹 제임스 성경
hr,Biblija kralja Jakova
id,Alkitab Versi Raja James
it,Bibbia di re Giacomo
he,תרגום המלך ג'יימס
la,Bibliorum versio regis Iacobi
hu,King James Bible
nl,King James Version
ja,欽定訳聖書
nb,King James Version
ps,د پاچا جیمز نسخه
pl,Biblia króla Jakuba
pt,Bíblia do Rei Jaime
ru,Библия короля Якова
en-simple,Authorized King James Version
szl,Biblijo Krůla Jakuba
ckb,وەشانی پاشا جەیمز
fi,Kuningas Jaakon Raamattu
sv,King James Bible
tl,King James Version
th,ฉบับพระเจ้าเจมส์
tr,Kral James Onaylı Kitab-ı Mukaddes
uk,Біблія короля Якова
zh,钦定版圣经
