Language,Title
en,Kleene closure
ar,نجمة كلين
bs,Kleeneov operator
ca,Clausura de Kleene
cs,Kleeneho hvězdička
de,Kleenesche und positive Hülle
el,Αστέρι Κλέινι
es,Clausura de Kleene
eu,Kleene izar
fa,ستاره کلین
fr,Étoile de Kleene
ko,클레이니 스타
hr,Kleeneov operator
it,Star di Kleene
he,כוכב קלין
ms,Bintang Kleene
nl,Kleene-ster
ja,クリーネ閉包
nb,Kleenestjerne
nn,Kleenestjerne
pl,Domknięcie Kleene’ego
pt,Fecho de Kleene
ro,Închidere Kleene
ru,Звезда Клини
sr,Клинијево затворење
fi,Kleenen tähti
uk,Зірочка Кліні
zh,克莱尼星号
