Language,Title
ar,قاعدة لوبيتال
az,Lopital qaydası
bn,লা'হোপিটাল নিয়ম
bs,L'Hôpitalovo pravilo
ca,Regla de L'Hôpital
cv,Лопиталь йĕркевĕ
cs,L'Hospitalovo pravidlo
da,L'Hôpitals regel
de,Regel von de L’Hospital
es,Regla de l'Hôpital
eu,L'Hôpitalen erregela
fa,قاعده هوپیتال
fr,Règle de L'Hôpital
gl,Regra de l'Hôpital
ko,로피탈의 정리
hy,Լոպիտալի կանոն
hi,एल् हास्पिटल का नियम
id,Aturan L'Hôpital
is,Regla l'Hôpitals
it,Regola di de l'Hôpital
he,כלל לופיטל
kk,Лопиталь ережесі
la,Hospitalii regula
lv,Lopitāla kārtula
lmo,Regola del de l'Hôpital
hu,L’Hôpital-szabály
mk,Лопиталово правило
ml,എൽ ഹോസ്പിറ്റൽ നിയമം
ms,Hukum de l'Hôpital
nl,Regel van l'Hôpital
ja,ロピタルの定理
nb,L’Hôpitals regel
uz,Lopital teoremasi
pl,Reguła de l’Hospitala
pt,Regra de l'Hôpital
ro,Regula lui l'Hôpital
ru,Правило Лопиталя
si,ලොස්පිටාල් නියමය
sk,L’Hospitalovo pravidlo
sl,L'Hôpitalovo pravilo
ckb,ڕێسای لۆپیتاڵ
sr,Лопиталово правило
su,Aturan L'Hôpital
fi,L’Hôpitalin sääntö
sv,L'Hôpitals regel
ta,லாபிதாலின் விதி
th,หลักเกณฑ์โลปีตาล
tr,L'Hopital kuralı
uk,Правило Лопіталя
vi,Quy tắc l'Hôpital
zh,洛必达法则
