Language,Title
ar,مؤثر لابلاس
be,Аператар Лапласа
bg,Оператор на Лаплас
ca,Operador laplacià
cv,Лаплас операторĕ
cs,Laplaceův operátor
da,Laplace-operatoren
de,Laplace-Operator
et,Laplace'i operaator
es,Operador laplaciano
eo,Laplaca operatoro
fa,عملگر لاپلاس
fr,Opérateur laplacien
gl,Operador de Laplace
ko,라플라스 연산자
hy,Լապլասի օպերատոր
io,Laplasal operacanto
is,Laplacevirki
it,Operatore di Laplace
he,לפלסיאן
kk,Лаплас операторы
lt,Laplaso operatorius
hu,Laplace-operátor
nl,Laplace-operator
ja,ラプラス作用素
nb,Laplace-operator
nn,Laplace-operator
pms,Laplacian
pl,Operator Laplace’a
pt,Laplaciano
ro,Laplacian
ru,Оператор Лапласа
en-simple,Laplace operator
sk,Laplaceov operátor
sl,Laplaceov operator
sr,Лапласов оператор
sh,Laplaceov operator
sv,Laplaceoperatorn
tr,Laplasyen
uk,Оператор Лапласа
vi,Toán tử Laplace
yue,拉普拉斯算子
zh,拉普拉斯算子
