Language,Title
ar,تكامل لوبيغ
ca,Integral de Lebesgue
cv,Лебег интегралĕ
cs,Lebesgueův integrál
de,Lebesgue-Integral
el,Ολοκλήρωση κατά Λεμπέγκ
es,Integral de Lebesgue
fa,انتگرال لبگ
fr,Intégrale de Lebesgue
ko,르베그 적분
hy,Լեբեգի ինտեգրալ
id,Integral Lebesgue
it,Integrale di Lebesgue
he,אינטגרל לבג
hu,Lebesgue-integrál
nl,Lebesgue-integraal
ja,ルベーグ積分
pl,Całka Lebesgue’a
pt,Integral de Lebesgue
ru,Интеграл Лебега
sk,Lebesgueov integrál
su,Integrasi Lebesgue
fi,Mittaintegraali
sv,Lebesgueintegration
tl,Integrasyong Lebesgue
tr,Lebesgue integrali
uk,Інтеграл Лебега
yue,勒貝格積分
zh,勒貝格積分
