Language,Title
en,Library and Archives Canada
bg,Библиотека и архиви Канада
ca,Biblioteca i Arxius de Canadà
de,Library and Archives Canada
el,Βιβλιοθήκη και Αρχεία του Καναδά
eo,Biblioteko kaj Arkivoj de Kanado
fa,کتابخانه و بایگانی‌های کانادا
fr,Bibliothèque et Archives Canada
hy,Կանադայի գրադարան և արխիվ
it,Library and Archives Canada
he,הספרייה והארכיון הלאומי של קנדה
hu,Kanadai Nemzeti Könyvtár
ja,カナダ国立図書館・文書館
uz,Kanada kutubxonasi va arxivlari
pl,Biblioteka i archiwum Kanady
pt,Biblioteca e Arquivos do Canadá
ru,Библиотека и Архив Канады
en-simple,Library and Archives Canada
fi,Kanadan kansalliskirjasto ja -arkisto
tr,Kanada Kütüphane ve Arşivleri
uk,Бібліотека та архів Канади
zh,加拿大国家图书馆暨档案馆
