Language,Title
en,Limit of a function
ar,نهاية دالة
bn,অপেক্ষকের সীমা
be,Ліміт функцыі
be-tarask,Ліміт функцыі
bs,Granična vrijednost funkcije
cv,Функци чикки
cs,Limita funkce
de,Grenzwert (Funktion)
et,Piirväärtus
el,Όριο συνάρτησης
es,Límite de una función
fa,حد تابع
fr,Limite (mathématiques élémentaires)
gl,Límite dunha función
ko,함수의 극한
hi,फलन की सीमा
id,Limit fungsi
it,Limite di una funzione
he,גבול של פונקציה
ka,ფუნქციის ზღვარი
mk,Гранична вредност на функција
ms,Had fungsi
ja,関数の極限
pl,Granica funkcji
pt,Limite de uma função
ro,Limită a unei funcții
ru,Предел функции
si,ශ්‍රිතයක සීමාව
en-simple,Limit of a function
sl,Limita funkcije
sr,Гранична вредност функције
fi,Funktion raja-arvo
tl,Hangganan (kalkulo)
ta,சார்பு எல்லை
th,ลิมิตของฟังก์ชัน
tr,Fonksiyonun limiti
uk,Границя функції в точці
ur,دالہ کی حد
vi,Giới hạn của hàm số
yue,極限 (函數)
zh,函數極限
