Language,Title
en,Limit of a sequence
ar,نهاية متتالية
ast,Llende d'una socesión
bn,ক্রম সীমা
ba,Эҙмә-эҙлелектең сикләнмәһе
be,Ліміт паслядоўнасці
bg,Граница на редица
bs,Granična vrijednost niza
ca,Convergència (successió matemàtica)
cv,Умлăн-хыçлăнлăх чикки
cs,Limita posloupnosti
de,Grenzwert (Folge)
et,Jada piirväärtus
el,Όριο ακολουθίας
es,Límite de una sucesión
eu,Segida baten limite
fa,حد دنباله
fr,Limite d'une suite
gl,Límite dunha sucesión
ko,수열의 극한
hi,अनुक्रम की सीमा
id,Limit barisan
it,Limite di una successione
he,גבול של סדרה
lt,Sekos riba
lmo,Limit di succession
mk,Гранична вредност на низа
ja,数列の極限
pl,Granica ciągu
pt,Limite de uma sequência
ro,Limită a unui șir
ru,Предел последовательности
en-simple,Limit of a sequence
sl,Limita zaporedja
sr,Гранична вредност низа
fi,Lukujonon raja-arvo
tr,Dizinin limiti
uk,Границя послідовності
vi,Giới hạn của một dãy
yue,極限 (數列)
zh,極限 (數列)
