Language,Title
en,Limit superior and limit inferior
bn,ঊর্দ্ধসীমা
cs,Limes superior a limes inferior
de,Limes superior und Limes inferior
es,Límite superior y límite inferior
fa,حد سوپریمم
fr,Limite supérieure et limite inférieure
gl,Límite superior e límite inferior
ko,상극한과 하극한
it,Limite superiore e limite inferiore
nl,Limes inferior en limes superior
ja,上極限と下極限
pl,Granice dolna i górna
pt,Limite superior e limite inferior
ru,Частичный предел последовательности
uk,Верхня і нижня границі
zh,上极限和下极限
