Language,Title
af,Limiet
am,ጥግ
ar,نهاية (رياضيات)
ast,Llende matemática
az,Limit (riyaziyyat)
bn,সীমা (গণিত)
ba,Сикләмә (математика)
be,Ліміт (матэматыка)
bh,सीमा (गणित)
bg,Граница (математика)
bs,Limes (matematika)
ca,Límit
cv,Чикĕ (математика)
cs,Limita
cy,Terfan (mathemateg)
da,Grænseværdi (matematik)
el,Όριο (μαθηματικά)
es,Límite (matemática)
eo,Limeso
eu,Limite
fa,حد (ریاضی)
fr,Limite (mathématiques)
ga,Teorainn (matamaitic)
gl,Límite matemático
gan,極限
hak,Khi̍t-han (Sú-ho̍k)
ko,극한
hy,Սահման (մաթեմատիկա)
hi,सीमा (गणित)
hr,Limes (matematika)
io,Limito
id,Limit (matematika)
is,Markgildi
it,Limite (matematica)
he,גבול (מתמטיקה)
kk,Шек
gcr,Limit (matématik)
la,Limes (mathematica)
lv,Robeža (matemātika)
lt,Riba (matematika)
lmo,Limit (matematega)
hu,Határérték
mk,Гранична вредност
mr,सीमा (गणित)
ms,Had (matematik)
nl,Limiet
ja,極限
nb,Grenseverdi
nn,Grense i matematikk
uz,Limit
jam,Limit (matimatix)
km,លីមីត
pl,Granica (matematyka)
pt,Limite
ro,Limită (matematică)
ru,Предел (математика)
sq,Limiti
scn,Lìmiti
en-simple,Limit (mathematics)
sk,Limita
ckb,ڕادە (ماتماتیک)
sr,Гранична вредност
sh,Limes (matematika)
fi,Raja-arvo
sv,Gränsvärde
ta,எல்லை (கணிதம்)
tr,Limit
uk,Границя
ur,حد (ریاضی)
vec,Limite
vi,Giới hạn (toán học)
vls,Limiet
wuu,极限（数学）
yue,極限 (數學)
diq,Limit
zh,极限 (数学)
