Language,Title
ar,تكامل خط
bg,Криволинеен интеграл
ca,Integral curvilínia
cv,Йĕр интегралĕ
cs,Křivkový integrál
da,Kurveintegral
de,Kurvenintegral
el,Επικαμπύλιο ολοκλήρωμα
es,Integral de línea
eo,Kurba integralo
fa,انتگرال خطی
fr,Intégrale curviligne
ko,선적분
hy,Կորագիծ ինտեգրալ
id,Integral garis
is,Ferilheildi
it,Integrale di linea
he,אינטגרל קווי
mk,Криволиниски интеграл
nl,Lijnintegraal
ja,線積分
pa,ਲਾਈਨ ਇੰਟਗ੍ਰਲ
pl,Całka krzywoliniowa
pt,Integral de linha
ro,Integrală curbilinie
ru,Криволинейный интеграл
sq,Integrali kurbolinear
sr,Криволинијски интеграл
fi,Viivaintegraali
sv,Kurvintegral
tr,Çizgi integrali
uk,Криволінійний інтеграл
vi,Tích phân đường
zh,曲线积分
