Language,Title
en,Linear algebra
af,Lineêre algebra
gsw,Lineare Algebra
ar,جبر خطي
an,Alchebra lineal
ast,Álxebra llinial
az,Xətti cəbr
bn,রৈখিক বীজগণিত
nan,Sòaⁿ-sèng tāi-sò͘
ba,Һыҙыҡлы алгебра
be,Лінейная алгебра
be-tarask,Лінейная альгебра
bg,Линейна алгебра
bs,Linearna algebra
ca,Àlgebra lineal
cv,Линейлĕ алгебра
cs,Lineární algebra
cy,Algebra llinol
da,Lineær algebra
de,Lineare Algebra
et,Lineaaralgebra
el,Γραμμική άλγεβρα
es,Álgebra lineal
eo,Lineara algebro
eu,Aljebra lineal
fa,جبر خطی
fr,Algèbre linéaire
gl,Álxebra lineal
gan,線性代數
ko,선형대수학
hy,Գծային հանրահաշիվ
hi,रैखिक बीजगणित
hr,Linearna algebra
id,Aljabar linear
ia,Algebra linear
is,Línuleg algebra
it,Algebra lineare
he,אלגברה ליניארית
ka,წრფივი ალგებრა
kk,Сызықтық алгебра
sw,Aljebra mstari
ht,Aljèb lineyè
gcr,Aljèb linéyèr
la,Algebra linearis
lv,Lineārā algebra
lez,ЦӀарцӀин алгебра
lt,Tiesinė algebra
lfn,Aljebra linial
lmo,Algebra lineara
hu,Lineáris algebra
mk,Линеарна алгебра
ml,രേഖീയ ബീജഗണിതം
ms,Algebra linear
nl,Lineaire algebra
ja,線型代数学
frr,Lineaar algebra
nb,Lineær algebra
nn,Lineær algebra
oc,Algèbra lineara
uz,Chiziqli algebra
jam,Linia haljibra
pms,Àlgebra linear
pl,Algebra liniowa
pt,Álgebra linear
ro,Algebră liniară
ru,Линейная алгебра
sco,Linear algebra
sq,Algjebra lineare
scn,Algibbra liniari
en-simple,Linear algebra
sk,Lineárna algebra
sl,Linearna algebra
ckb,جەبری ھێڵی
sr,Линеарна алгебра
sh,Linearna algebra
fi,Lineaarialgebra
sv,Linjär algebra
tl,Alhebrang linyar
ta,நேரியல் இயற்கணிதம்
th,พีชคณิตเชิงเส้น
tg,Алгебраи хаттӣ
tr,Lineer cebir
uk,Лінійна алгебра
ur,خطی الجبرا
vi,Đại số tuyến tính
war,Alhebra Linyal
wuu,线性代数
yi,לינעארע אלגעברע
yo,Áljẹ́brà onígbọrọ
yue,線性代數
zh,线性代数
