Language,Title
en,Linear map
ar,تحويل خطي
bg,Линеен оператор
ca,Aplicació lineal
cv,Линилле куçару
cs,Lineární zobrazení
da,Lineær funktion
de,Lineare Abbildung
et,Lineaarkujutus
el,Γραμμική απεικόνιση
es,Aplicación lineal
eo,Lineara bildigo
eu,Aplikazio lineal
fa,نگاشت خطی
fr,Application linéaire
gl,Aplicación linear
ko,선형 변환
hy,Գծային արտապատկերում
hr,Linearni operator
id,Peta linear
is,Línuleg vörpun
it,Trasformazione lineare
he,העתקה ליניארית
lt,Tiesinis operatorius
hu,Lineáris leképezés
nl,Lineaire afbeelding
ja,線型写像
nb,Lineær transformasjon
pa,ਲੀਨੀਅਰ ਮੈਪ
pnb,لینیئر میپ
pl,Przekształcenie liniowe
pt,Transformação linear
ro,Transformare liniară
ru,Линейное отображение
en-simple,Linear mapping
sk,Lineárne zobrazenie
sl,Linearna transformacija
ckb,نەخشەی ھێڵی
sr,Линеарно пресликавање
sh,Linearna transformacija
fi,Lineaarikuvaus
sv,Linjär avbildning
ta,நேரியல் கோப்பு
tr,Doğrusal dönüşüm
uk,Лінійне відображення
ur,لکیری استحالہ
vi,Biến đổi tuyến tính
wuu,线性映射
zh,线性映射
