Language,Title
en,Lists of mathematics topics
bg,Списък на математически понятия
fa,فهرست مفاهیم ریاضی
hy,Մաթեմատիկայի մասին հոդվածների ցանկեր
id,Daftar artikel matematika
ms,Senarai rencana matematik
nl,Wiskunde van A tot Z
oc,Lista deis articles de matematicas
pl,Wikipedia:Skarbnica Wikipedii/Przegląd zagadnień z zakresu matematyki
si,ගණිත ලිපි ලැයිස්තුව
en-simple,List of mathematics topics
sl,Seznam matematičnih vsebin
tr,Matematik konularının listesi
uk,Вікіпедія:Проєкт:Математика/Зміст
vi,Danh sách chủ đề toán học
