Language,Title
af,Lys van integrale
smn,Listo integraalijn
ar,قائمة قوائم التكاملات
bn,সমাকলনের তালিকাসমূহ
ba,Интеграл табыу
bg,Таблични интеграли
bs,Spiskovi integrala
ca,Taula d'integrals
cv,Умсăнарсен таблици
cs,Seznam základních integrálů
de,Tabelle von Ableitungs- und Stammfunktionen
es,Anexo:Integrales
eu,Zerrenda:Integralak
fa,فهرست‌های انتگرال‌ها
fr,Table de primitives
gl,Lista de integrais
hak,Chit-fûn-péu
ko,적분표
hi,समाकल सूची
hr,Popisi integrala
id,Tabel integral
it,Tavola degli integrali più comuni
lv,Integrāļu saraksts
lt,Integralų lentelė
lmo,Taula da integraal
hu,Riemann-integrálás
mk,Таблични интеграли
nl,Lijst van integralen
ja,原始関数の一覧
km,តារាងអាំងតេក្រាល
pt,Tábua de integrais
ro,Tabel de integrale
ru,Список интегралов элементарных функций
sl,Tabela integralov
sr,Таблични интеграли
sh,Popisi integrala
fi,Luettelo integraaleista
ta,தொகையீடுகளின் பட்டியல்
tt,Интеграл табу
tr,İntegral tablosu
uk,Таблиця інтегралів
vi,Danh sách tích phân
zh,积分表
