Language,Title
en,Logic
af,Logika
gsw,Logik
am,ስነ አምክንዮ
anp,तर्कशास्त्र
ar,المنطق
an,Lochica
hyw,Տրամաբանութիւն
as,তৰ্কশাস্ত্ৰ
ast,Lóxica
gn,Kuaarape
az,Məntiq
azb,منطیق
bn,যুক্তিবিজ্ঞান
nan,Lô-chek
ba,Логика
be,Логіка
be-tarask,Лёгіка
bcl,Lohika
bg,Логика
bar,Logik
bs,Logika
bxr,Ушар ухаан
ca,Lògica
cv,Логика
cs,Logika
cbk,Logica
co,Logica
cy,Rhesymeg
da,Logik
de,Logik
et,Loogika
el,Λογική
es,Lógica
eo,Logiko
ext,Lógica
eu,Logika
fa,منطق
hif,Logic
fr,Logique
fy,Logika
ga,Loighic
gl,Lóxica
gan,邏輯學
ki,Ũgo (logic)
ko,논리학
haw,Kūpili
hy,Տրամաբանություն
hi,तर्कशास्त्र
hr,Logika
io,Logiko
ig,Ǹzù
ilo,Lohika
id,Logika
ia,Logica
ie,Logica
xh,I-logic
is,Rökfræði
it,Logica
he,לוגיקה
jv,Logika
kbp,Cɔlɩyɛ
ka,ლოგიკა
kk,Логика
kw,Lojyk
sw,Mantiki
gcr,Lojik
ku,Mentiq
ky,Логика
lld,Logica
lbe,Мантикь
la,Logica
lv,Loģika
lb,Logik
lt,Logika
lfn,Lojica
jbo,logji
lmo,Logega
hu,Logika
mk,Логика
mg,Lôjika
ml,തർക്കശാസ്ത്രം
mr,तर्कशास्त्र
xmf,ლოგიკა
arz,منطق
ms,Logik
mwl,Lógica
mn,Логик
my,ယုတ္တိဗေဒ
fj,Vakasama
nl,Logica
new,तर्क
ja,論理学
ce,Логика
frr,Loogik
pih,Lojik
nb,Logikk
nn,Logikk
nov,Logike
oc,Logica
om,Yaaya(logic)
uz,Mantiq
pa,ਤਰਕ ਸ਼ਾਸਤਰ
pnb,تُک
ps,سولپوهنه
jam,Lajik
km,តក្កវិជ្ជា
pms,Lògica
tpi,Lajik
nds,Logik
pl,Logika
pt,Lógica
crh,Mantıq
ro,Logică
qu,Sullwa
rue,Лоґіка
ru,Логика
sah,Логика
sat,ᱡᱩᱠᱛᱤ
sc,Lògica
sco,Logic
sq,Logjika
scn,Lòggica
en-simple,Logic
sd,منطق
sk,Logika
sl,Logika
ckb,لۆژیک
sr,Логика
sh,Logika
su,Logika
fi,Logiikka
sv,Logik
tl,Lohika
ta,ஏரணம்
shi,Tamẓla
kab,Tameẓla
tt,Мантыйк
th,ตรรกศาสตร์
tg,Мантиқ
tr,Mantık
tk,Mantyk
tyv,Билиглел
uk,Логіка
ur,منطق
vep,Logik
vi,Logic
vro,Loogiga
wa,Lodjike
lzh,理則
war,Lohika
wuu,邏輯
yi,לאגיק
yo,Ọgbọ́n
yue,邏輯
sgs,Luogėka
zh,逻辑
tly,Mәntığ
