Language,Title
en,Logical connective
ar,رابطة منطقية
az,Məntiqi əməliyyat
bg,Логическа операция
ca,Connectiva lògica
da,Logisk konnektiv
de,Logische Verknüpfung
et,Konnektor (keeleteadus)
el,Λογικές συναρτήσεις
egl,Conetîv lògic
es,Conectiva lógica
eu,Lokailu logiko
fa,رابط منطقی
fr,Connecteur logique
ko,논리 연산
hy,Տրամաբանական գործողություն
id,Operator logika
is,Rökaðgerð
it,Connettivo logico
he,קשר לוגי
kk,Пропозициялық өзара қатынас
hu,Logikai művelet
mk,Логичка операција
ms,Pengoperasi logik
ja,論理演算
nn,Logisk konstant
pl,Funktor zdaniotwórczy
pt,Conectivo lógico
ro,Conector logic
ru,Логическая операция
sk,Výroková spojka
sv,Logisk operator
ta,ஏரண இணைப்பி
th,ตัวดำเนินการตรรกะ
tg,Амалҳои мантиқӣ
tr,Mantık bağlacı
uk,Логічний сполучник
ur,منطقی عامل
yue,邏輯連接詞
zh,逻辑运算符
