Language,Title
en,Long and short scales
af,Kort en lang skaalverdeling
ast,Escales numbériques llarga y curtia
bs,Duga i kratka skala
ca,Escales curta i llarga
cs,Krátká a dlouhá škála
da,Den lange og den korte skala for store tal
de,Lange und kurze Skala
es,Escalas numéricas larga y corta
eo,Vortoj por grandegaj nombroj
fa,مقیاس‌های بزرگ و کوچک (سیستم نامگذاری اعداد بزرگ)
fo,Langi og stutti talstigin fyri stór tøl
fr,Échelles longue et courte
hy,Թվերի անվանման համակարգեր
id,Skala panjang dan pendek
it,Scala lunga e scala corta
la,Scalae longae et breves
lt,Trumpoji ir ilgoji skalės
lfn,Scalas corta e longa
hu,Rövid és hosszú skála
ms,Skala panjang dan pendek
mwl,Escalas curta e longa
nl,Korte en lange schaal
ja,西洋の命数法
nb,Den korte og den lange skalaen for store tall
mhr,Шот радам-влак
pt,Escalas curta e longa
ru,Системы наименования чисел
en-simple,Long and short scales
sv,Långa och korta skalan för stora tal
tr,Uzun ve kısa ölçekler
uk,Системи найменувань чисел
vi,Quy mô dài và ngắn
zh,西方的数字命名法
