Language,Title
en,Material conditional
am,ጥገኛ አምክንዮ
ar,قضية شرطية
be,Імплікацыя
be-tarask,Імплікацыя
bg,Импликация
ca,Condicional material
cs,Implikace
de,Subjunktion
et,Implikatsioon
es,Condicional material
eo,Implico
fa,شرطی مادی
fr,Implication (logique)
hy,Իմպլիկացիա
hr,Implikacija
it,Implicazione logica
he,אם-אז
kk,Импликация
hu,Implikáció
mk,Материјална импликација
nl,Logische implicatie
ja,論理包含
nb,Subjunksjon (logikk)
pms,Amplicassion
pl,Implikacja materialna
pt,Condicional material
kaa,Implikaciya
ro,Implicație logică
ru,Импликация
en-simple,Implication (logic)
sk,Implikácia
fi,Implikaatio
sv,Implikation
tl,Implikasyon
tt,Импликация
th,เงื่อนไขเชิงตรรกศาสตร์
uk,Логічна імплікація
zh,实质条件
