Language,Title
en,Mathematical analysis
af,Wiskundige analise
gsw,Analysis
anp,कलन शास्त्र
ar,تحليل رياضي
an,Analís matematica
as,গাণিতিক বিশ্লেষণ
ast,Analís matemáticu
az,Riyazi analiz
bn,গাণিতিক বিশ্লেষণ
ba,Анализ (математика бүлеге)
be,Матэматычны аналіз
be-tarask,Матэматычны аналіз
bh,गणितीय बिस्लेषण
bg,Математически анализ
bs,Matematička analiza
ca,Anàlisi matemàtica
cv,Анализ (математика пайĕ)
cs,Matematická analýza
co,Analisa
cy,Dadansoddiad mathemategol
da,Matematisk analyse
de,Analysis
et,Matemaatiline analüüs
el,Μαθηματική ανάλυση
es,Análisis matemático
eo,Analitiko
eu,Analisi matematiko
fa,آنالیز ریاضی
fr,Analyse (mathématiques)
ga,Anailís mhatamaiticiúil
gd,Anailis mhatamataigeach
gl,Análise matemática
gan,數學分析
ko,해석학 (수학)
hy,Մաթեմատիկական անալիզ
hi,गणितीय विश्लेषण
hr,Matematička analiza
io,Analitiko
id,Analisis matematis
ia,Analyse (mathematica)
is,Stærðfræðigreining
it,Analisi matematica
he,אנליזה מתמטית
ka,მათემატიკური ანალიზი
kk,Математикалық талдау
sw,Uchambuzi wa kihisabati
gcr,Analiz (matématik)
ky,Математикалык талдоо
la,Analysis mathematica
lv,Matemātiskā analīze
lb,Analys (Mathematik)
lt,Matematinė analizė
lij,Analixi matematica
lfn,Analise matematical
lmo,Analisi matematega
hu,Matematikai analízis
mk,Математичка анализа
ml,അനാലിസിസ് (ഗണിതം)
mt,Analisi matematika
ms,Analisis matematik
mwl,Análeze matemática
my,ခွဲခြမ်းစိတ်ဖြာသင်္ချာ
nl,Analyse (wiskunde)
ja,解析学
frr,Analysis
nb,Matematisk analyse
nn,Matematisk analyse
oc,Analisi matematica
uz,Matematik analiz
pa,ਗਣਿਤ ਵਿਸ਼ਲੇਸ਼ਣ
pnb,میتھمیٹیکل انیلیسز
jam,Matimatikal analisis
pms,Anàlisi matemàtica
pl,Analiza matematyczna
pt,Análise matemática
ro,Analiza matematică
rue,Математічна аналіза
ru,Анализ (раздел математики)
sco,Mathematical analysis
sq,Analiza matematikore
scn,Anàlisi (matimàtica)
si,ගණිතමය විශ්ලේෂණය
en-simple,Mathematical analysis
sk,Matematická analýza
sl,Matematična analiza
ckb,شیکاریی ماتماتیکی
sr,Математичка анализа
sh,Matematička analiza
fi,Analyysi (matematiikka)
sv,Matematisk analys
tl,Pagsusuring matematikal
ta,பகுவியல் (கணிதம்)
tt,Математик анализ
th,คณิตวิเคราะห์
tr,Matematiksel analiz
tk,Analiz
uk,Математичний аналіз
ur,ریاضیاتی تحلیل
vec,Anàłixi matemàtica
vi,Giải tích toán học
lzh,分析學
war,Analisis matematikal
wuu,数学分析
ts,Vukambisisi bya Dyondzo-Tinhlayo
yi,מאטעמאטישער אנאליז
yo,Ìtúwò Mathimátíìkì
yue,數學分析
diq,Analizo matematikên
zh,数学分析
