Language,Title
en,Matrix (mathematics)
af,Matriks
am,ማትሪክስ
ar,مصفوفة (رياضيات)
az,Matris
bn,ম্যাট্রিক্স
nan,Hâng-lia̍t
be,Матрыца (матэматыка)
be-tarask,Матрыца
bg,Матрица (математика)
bs,Matrica (matematika)
ca,Matriu (matemàtiques)
cv,Матрица (математика)
cs,Matice
cy,Matrics
da,Matrix
ary,ماتريس
de,Matrix (Mathematik)
et,Maatriks
el,Πίνακας (μαθηματικά)
es,Matriz (matemática)
eo,Matrico
eu,Matrize
fa,ماتریس
fr,Matrice (mathématiques)
ga,Maitrís
gl,Matriz (matemáticas)
gan,行列
ko,행렬
hy,Մատրից
hi,आव्यूह
hr,Matrica (matematika)
id,Matriks (matematika)
ia,Matrice (mathematica)
is,Fylki (stærðfræði)
it,Matrice
he,מטריצה
kn,ಮಾತೃಕೆಗಳು
ka,მატრიცა (მათემატიკა)
kk,Матрица (математика)
gcr,Matris (matématik)
lo,ມາຕຣິກ
la,Matrix (mathematica)
lv,Matrica
lt,Matrica (matematika)
lmo,Matris
hu,Mátrix (matematika)
mk,Матрица (математика)
ml,മാട്രിക്സ്
ms,Matriks (matematik)
nl,Matrix (wiskunde)
ne,मेट्रिक्स
ja,行列
frr,Maatriks
nb,Matrise
nn,Matrise
mhr,Матрице
or,ମାଟ୍ରିକ୍ସ
uz,Matritsa matematikada
pa,ਮੈਟ੍ਰਿਕਸ (ਗਣਿਤ)
pnb,ماٹرکس (ریاضیات)
pms,Matris
pl,Macierz
pt,Matriz (matemática)
ro,Matrice
ru,Матрица (математика)
sah,Матрица (математика)
sco,Matrix (mathematics)
sq,Matrica
scn,Matrici (matimàtica)
si,න්‍යාස (ගණිතය)
en-simple,Matrix (mathematics)
sk,Matica (matematika)
sl,Matrika
so,Taxane
ckb,ماتریکس
sr,Матрица (математика)
sh,Matrica (matematika)
fi,Matriisi
sv,Matris
tl,Baskagan (matematika)
ta,அணி (கணிதம்)
th,เมทริกซ์ (คณิตศาสตร์)
tr,Matris (matematik)
uk,Матриця (математика)
ur,میٹرکس (ریاضی)
vi,Ma trận (toán học)
lzh,矩陣
wuu,矩阵
yue,矩陣
zh,矩阵
