Language,Title
en,Modular arithmetic
ar,حسابيات معيارية
ast,Aritmética modular
bn,মডুলার পাটীগণিত
ba,Модуле буйынса сағыштырыу
bs,Modularna aritmetika
ca,Aritmètica modular
cs,Modulární aritmetika
et,Modulaarne aritmeetika
el,Αριθμητική υπολοίπων
es,Aritmética modular
eo,Modula aritmetiko
eu,Aritmetika modular
fa,هم‌نهشتی (نظریه اعداد)
fr,Arithmétique modulaire
gl,Aritmética modular
ko,모듈러 산술
hi,मॉड्युलर गणित
hr,Modularna aritmetika
id,Aritmetika modular
is,Mátreikningur
it,Aritmetica modulare
he,חשבון מודולרי
la,Arithmetica modularis
lmo,Aritmetega modulara
hu,Maradékosztály
ml,മോഡ്യുലർ അങ്കഗണിതം
nl,Modulair rekenen
ja,合同算術
nb,Modulær aritmetikk
pl,Arytmetyka modularna
pt,Aritmética modular
ru,Модульная арифметика
sq,Aritmetika modulare
en-simple,Modular arithmetic
sk,Modulárna aritmetika
sl,Modularna aritmetika
ckb,پێوەری ژمارە زانین
sr,Модуларна аритметика
sh,Модуларна аритметика
fi,Modulaarinen aritmetiikka
sv,Modulär aritmetik
ta,"சமானம், மாடுலோ n"
th,เลขคณิตมอดุลาร์
tr,Modüler aritmetik
uk,Модульна арифметика
ur,بمعامل
vi,Số học mô đun
yue,商餘計算
zh,模算數
