Language,Title
ar,تكامل متعدد
ast,Integral múltiple
az,İkiqat inteqral
ba,Тапҡырлы интеграл
bs,Višestruki integral
ca,Integral múltiple
cv,Хутлă интеграл
cs,Vícerozměrný integrál
da,Multipelt integral
de,Integralrechnung
el,Πολλαπλό ολοκλήρωμα
es,Integral múltiple
eo,Obla integralo
eu,Integral anizkoitz
fa,انتگرال چندگانه
fr,Intégrale multiple
gl,Integral múltiple
ko,중적분
id,Integral lipat
it,Integrale multiplo
he,אינטגרל רב-ממדי
kk,Еселі интеграл
lv,Divkāršais integrālis
nl,Meervoudige integraal
ja,多重積分
pl,Całka wielokrotna
pt,Integral múltipla
ro,Integrală multiplă
ru,Кратный интеграл
en-simple,Multiple integral
ckb,تەواوکاریی چەندجارە
sr,Višestruki integral
fi,Integrointi moniulotteisessa avaruudessa
sv,Multipelintegral
tr,Çokkatlı integral
uk,Багатократний інтеграл
vi,Tích phân bội
yue,多重積分
zh,多重积分
