Language,Title
en,Multiplication
af,Vermenigvuldiging
gsw,Multiplikation
am,ማባዛት
ar,ضرب
an,Multiplicación
ast,Multiplicación
az,Vurma
azb,چارپما
bn,গুণ (গণিত)
nan,Sêng-hoat
ba,Ҡабатлау
be,Множанне
be-tarask,Множаньне
bcl,Pagpadakul (matematika)
bg,Умножение
bo,སྒྱུར་རྩིས།
bs,Množenje
br,Liesadur
bxr,Үрэжүүлтэ
ca,Multiplicació
cv,Хутласси
cs,Násobení
sn,Kuwanza Huwandu
cy,Lluosi
da,Multiplikation
de,Multiplikation
et,Korrutamine
el,Πολλαπλασιασμός
egl,Moltìplica
es,Multiplicación
eo,Multipliko
eu,Biderketa
fa,ضرب (ریاضی)
fr,Multiplication
gd,Iomadachadh
gl,Multiplicación
gan,乘法
hak,Sṳ̀n-fap
xal,Холвалһан
ko,곱셈
hy,Բազմապատկում
hi,गुणा
hr,Množenje
id,Perkalian
ia,Multiplication
xh,Ukuphinda-phinda
is,Margföldun
it,Moltiplicazione
he,כפל
jv,Tangkaran
kn,ಗುಣಾಕಾರ
ka,გამრავლება (მათემატიკა)
kk,Көбейту
sw,Dharuba
gcr,Miltiplikasyon
ky,Көбөйтүү
la,Multiplicatio
lv,Reizināšana
lt,Daugyba
hu,Szorzás
mk,Множење
ml,ഗുണനം
mr,गुणाकार
arz,ضرب
ms,Pendaraban
cdo,Sìng-huák
fj,Multiplication
nl,Vermenigvuldigen
new,गुणना
ja,乗法
frr,Moolnemen
nb,Multiplikasjon
nn,Multiplikasjon
nov,Multiplikatione
oc,Multiplicacion
or,ଗୁଣନ
uz,Koʻpaytma
pa,ਗੁਣਾ
ps,ضرب
jam,Moltiplikieshan
pl,Mnożenie
pt,Multiplicação
ro,Înmulțire (matematică)
qu,Miray
ru,Умножение
sat,ᱜᱟᱵᱟᱬ
sq,Shumëzimi
scn,Murtipricazzioni
en-simple,Multiplication
sk,Násobenie
sl,Množenje
so,Iskudhufasho
ckb,لێکدان
sr,Множење
sh,Množenje
su,Produk (matematika)
fi,Kertolasku
sv,Multiplikation
tl,Pagpaparami (matematika)
ta,பெருக்கல் (கணிதம்)
te,గుణకారం
th,การคูณ
tg,Зарб
chr,ᎠᏴᎦᎴᏫᏒᎯ
tr,Çarpma
tk,Kopeltmek(matematika)
uk,Множення
ur,ضرب (ریاضی)
za,Swngzfap
vec,Moltiplegasion
vi,Phép nhân
war,Pagpilo-pilo
wuu,乘法
yi,טאפלונג
yo,Ìsọdipúpọ̀
yue,乘
zh,乘法
