Language,Title
en,Multiplicative inverse
af,Omgekeerde
ar,مقلوب عدد
ast,Inversu multiplicativu
bg,Реципрочна стойност
ca,Invers multiplicatiu
cv,Кутăнла хисеп
cs,Převrácená hodnota
cy,Cilydd
da,Reciprok
de,Kehrwert
el,Πολλαπλασιαστικός αντίστροφος
es,Inverso multiplicativo
eo,Inverso
eu,Alderantzizko zenbaki
fa,وارون ضربی
fr,Inverse
ko,곱셈 역원
id,Invers perkalian
is,Umhverfa
it,Reciproco
he,מספר הופכי
lmo,Invers
hu,Reciprok
mk,Реципрочна вредност
ms,Salingan
nl,Omgekeerde
ja,逆数
frr,Kiarwäärs
nn,Resiprok
pa,ਗੁਣਾਤਮਕ ਉਲਟ
nds,Kehrweert
pl,Liczba odwrotna
pt,Inverso multiplicativo
qu,T'ikrasqa yupay
ru,Обратное число
en-simple,Reciprocal
sk,Prevrátená hodnota
sl,Recipročna vrednost
sr,Реципрочна вредност
fi,Käänteisluku
sv,Reciprok (matematik)
tl,Kabaligtarang pamparami
ta,பெருக்கல் நேர்மாறு
th,ตัวผกผันการคูณ
uk,Обернене число
ur,ریاضیاتی مقلوب
vi,Nghịch đảo phép nhân
lzh,倒數
wuu,倒数
yue,倒數 (數)
zh,倒数
