Language,Title
en,Name
gsw,Name
ar,اسم
ast,Nome
ay,Suti
az,Ad
azb,آد
bn,নাম
bjn,Ngaran
ba,Исем
bh,नाँव
bg,Име
bar,Nama
bs,Ime
br,Anv
ca,Nom
cv,Ят
sn,Zita
da,Navn
de,Name
et,Nimi
es,Nombre
eo,Nomo
eu,Izen
ee,Ŋkɔ
fa,نام
fr,Nom
fy,Namme
gd,Ainm
gl,Nome
ko,이름
hi,नाम
hr,Ime
io,Nomo
id,Nama
ia,Nomine
is,Nafn
he,שם
jv,Jeneng
kn,ಹೆಸರು
sw,Jina
ht,Non
la,Nomen
lv,Nosaukums
lb,Numm
nia,Töi
jbo,cmevla
mk,Име
mg,Anarana
mzn,نوم (اسم)
ms,Nama
my,အမည်
nl,Naam
new,नां
ja,名前
ce,ЦӀе
nb,Navn
nn,Namn
nrf,Noum
oc,Nom
uz,Nom
pa,ਨਾਮ
ami,Pangangan
pnb,ناں
pl,Nazwa
pt,Nome
ro,Nume
qu,Suti
ru,Имя
sq,Emri
en-simple,Name
sd,نالو
sl,Ime
ckb,ناو
sr,Име
sh,Ime
su,Ngaran
fi,Nimi
sv,Egennamn
tl,Ngalan
ta,பெயர்
shi,Assaɣ
tt,Исем
tay,lalu
te,పేరు
th,ชื่อ
tr,Ad
tw,Edin
kcg,A̱lyoot
uk,Ім'я
ur,نام
vi,Tên gọi
war,Ngaran
wuu,名称
yi,נאמען
yo,Orúkọ
yue,名
zh,名称
