Language,Title
en,National Library of Brazil
ar,مكتبة البرازيل الوطنية
de,Brasilianische Nationalbibliothek
el,Εθνική Βιβλιοθήκη της Βραζιλίας
es,Biblioteca Nacional de Brasil
eo,Nacia Biblioteko de Brazilo
fa,کتابخانه ملی برزیل
fr,Bibliothèque nationale du Brésil
gl,Biblioteca Nacional do Brasil
hy,Բրազիլիայի ազգային գրադարան
hr,Brazilska nacionalna knjižnica
it,Biblioteca Nacional do Brasil
arz,مكتبه البرازيل الوطنيه
ms,Perpustakaan Negara Brazil
nl,Nationale Bibliotheek van Brazilië
uz,Braziliya Milliy kutubxonasi
pl,Brazylijska Biblioteka Narodowa
pt,Biblioteca Nacional do Brasil
ru,Национальная библиотека Бразилии
sr,Национална библиотека Бразила
fi,Brasilian kansalliskirjasto
uk,Національна бібліотека Бразилії
zh,巴西国家图书馆
