Language,Title
en,National Library of the Philippines
ceb,Nasodnong Pamasahonan (Pilipinas)
el,Εθνική Βιβλιοθήκη των Φιλιππινών
es,Biblioteca Nacional de Filipinas
fa,کتابخانه ملی فیلیپین
id,Perpustakaan Nasional Filipina
arz,مكتبه الفلبين الوطنيه
ms,Perpustakaan Negara Filipina
nl,National Library of the Philippines
pl,Biblioteka Narodowa Filipin
pt,Biblioteca Nacional das Filipinas
fi,Filippiinien kansalliskirjasto
tl,Pambansang Aklatan ng Pilipinas
war,Nasodnon nga Sulod-Barasahan han Pilipinas
zh,菲律賓國家圖書館
