Language,Title
en,National and University Library of Iceland
be,Нацыянальная бібліятэка Ісландыі
be-tarask,Нацыянальная бібліятэка Ісьляндыі
ca,Biblioteca Nacional i Universitària d'Islàndia
da,Islands nationalbibliotek
de,National- und Universitätsbibliothek Islands
el,Εθνική και Πανεπιστημιακή Βιβλιοθήκη της Ισλανδίας
es,Biblioteca Nacional y Universitaria de Islandia
fa,کتابخانه ملی دانشگاهی ایسلند
fr,Bibliothèque nationale et universitaire d'Islande
hy,Իսլանդիայի ազգային և համալսարանական գրադարան
is,Landsbókasafn Íslands
nl,Landsbókasafn Íslands Háskólabókasafn
nb,Islands nasjonal- og universitetsbibliotek
pl,Islandzka Biblioteka Narodowa i Uniwersytecka
pt,Biblioteca Nacional e Universitária da Islândia
ru,Национальная и университетская библиотека Исландии
fi,Islannin kansallis- ja yliopistokirjasto
sv,Landsbókasafn Íslands
uk,Національна й університетська бібліотека Ісландії
zh,冰島國家與大學圖書館
