Language,Title
en,Natural logarithm
af,Natuurlike logaritme
ar,لوغاريتم طبيعي
az,Natural loqarifm
nan,Chū-jiân tùi-sò͘
be,Натуральны лагарыфм
bg,Естествен логаритъм
bs,Prirodni logaritam
br,Logaritm neperian
ca,Logaritme natural
cv,Натураллă логарифм
da,Naturlig logaritme
de,Logarithmus
et,Naturaallogaritm
el,Φυσικός λογάριθμος
es,Logaritmo natural
eu,Logaritmo natural
fa,لگاریتم طبیعی
fo,Náttúrlig logaritma
fr,Logarithme naturel
ko,자연로그
hy,Բնական լոգարիթմ
hi,प्राकृतिक लघुगणक
id,Logaritma alami
it,Logaritmo naturale
he,לוגריתם טבעי
ka,ნატურალური ლოგარითმი
kk,Натурал логарифм
lv,Naturālais logaritms
lt,Natūrinis logaritmas
lmo,Logaritm natural
hu,Természetes logaritmus
mk,Природен логаритам
ms,Logaritma asli
nl,Natuurlijke logaritme
ja,自然対数
nb,Naturlig logaritme
oc,Logaritme neperian
pms,Logaritm ëd Napier
pl,Logarytm naturalny
pt,Logaritmo natural
ro,Logaritm natural
ru,Натуральный логарифм
si,ප්‍රකෘති ලඝුගණක
sl,Naravni logaritem
ckb,لۆگاریتمی سروشتی
sr,Природни логаритам
sh,Prirodni logaritam
fi,Luonnollinen logaritmi
sv,Naturliga logaritmen
ta,இயல் மடக்கை
shi,Alugaritm agaman
th,ลอการิทึมธรรมชาติ
uk,Натуральний логарифм
ur,قدرتی لاگرتھم
vi,Logarit tự nhiên
lzh,自然對數
wuu,自然对数
yue,自然對數
zh,自然對數
