Language,Title
en,Natural number
af,Natuurlike getal
gsw,Natürliche Zahl
am,የተፈጥሮ ቁጥር
anp,प्राकृतिक संख्या
ab,Иԥсабаратәу ахыԥхьаӡара
ar,عدد طبيعي
an,Numero natural
hyw,Բնական թիւ
as,স্বাভাৱিক সংখ্যা
ast,Númberu natural
az,Natural ədədlər
azb,طبیعی سایی
bn,স্বাভাবিক সংখ্যা
nan,Chū-jiân-sò͘
ba,Натураль һан
be,Натуральны лік
be-tarask,Натуральны лік
bg,Естествено число
bo,རང་བྱུང་གྲངས།
bs,Prirodan broj
br,Niver naturel
ca,Nombre natural
cv,Пурлăх хисепĕ
cs,Přirozené číslo
cy,Rhif naturiol
da,Naturligt tal
ary,عاداد طبيعي
de,Natürliche Zahl
et,Naturaalarv
el,Φυσικός αριθμός
egl,Nómmer naturèl
es,Número natural
eo,Natura nombro
eu,Zenbaki arrunt
fa,عدد طبیعی
fo,Teljital
fr,Entier naturel
ga,Uimhir aiceanta
gl,Número natural
inh,Бокъонца дола таьрахь
gan,自然數
gu,પ્રાકૃતિક સંખ્યાઓ
xal,Йиртимҗин тойг
ko,자연수
hy,Բնական թիվ
hi,प्राकृतिक संख्या
hsb,Přirodna ličba
hr,Prirodni broj
io,Naturala nombro
id,Bilangan asli
ia,Numero natural
os,Натуралон нымæц
xh,Amanani a-natural
zu,Inombolo Yokubala
is,Náttúrlegar tölur
it,Numero naturale
he,מספר טבעי
jv,Wilangan asli
kbp,Pilim ñʊʊ
kn,ಸ್ವಾಭಾವಿಕ ಸಂಖ್ಯೆ
ka,ნატურალური რიცხვი
kk,Дағдылы сан
sw,Namba asilia
gcr,Antyé natirèl
ku,Hejmarên xwezayî
ky,Натуралдык сан
lo,ຈຳນວນທຳມະຊາດ
la,Numerus naturalis
lv,Naturāls skaitlis
lb,Natierlech Zuel
lt,Natūralusis skaičius
li,Natuurlek getal
lfn,Numero natural
jbo,kacna'u
lmo,Nümar natüraal
hu,Természetes számok
mk,Природен број
mg,Isa nanahary
ml,എണ്ണൽ സംഖ്യ
mr,नैसर्गिक संख्या
arz,عدد طبيعى
ms,Nombor asli
mwl,Númaro natural
mn,Натурал тоо
my,သဘာဝကိန်း
fj,Naba vakatamata
nl,Natuurlijk getal
ne,प्राकृतिक सङ्ख्या
new,प्राकृतिक ल्याखँ
ja,自然数
frr,Natüürelk taal
nb,Naturlig tall
nn,Naturleg tal
oc,Entièr natural
or,ଗଣନ ସଂଖ୍ୟା
uz,Natural son
pa,ਕੁਦਰਤੀ ਅੰਕ
pnb,نیچرل نمبر
jam,Nachral nomba
km,ចំនួនគត់ធម្មជាតិ
pms,Nùmer natural
nds,Natürliche Tall
pl,Liczby naturalne
pt,Número natural
ksh,Natörliche Zahle
ro,Număr natural
ru,Натуральное число
sah,Натуральнай чыыhылаҕа
sa,प्राकृतिकसङ्ख्या
sc,Nùmeru naturale
sq,Numrat natyrorë
scn,Nùmmuru naturali
si,ස්වාභාවික සංඛ්‍යා
en-simple,Natural number
sk,Prirodzené číslo
sl,Naravno število
szl,Naturalno nůmera
so,Tiro tirsiimo
ckb,ژمارەی سروشتی
sr,Природан број
sh,Prirodan broj
fi,Luonnollinen luku
sv,Naturliga tal
tl,Likas na bilang
ta,இயல் எண்
tt,Табигый сан
te,సహజ సంఖ్య
th,จำนวนธรรมชาติ
tg,Адади натуралӣ
tr,Doğal sayılar
tk,Natural sanlar
uk,Натуральне число
ur,قدرتی عدد
vi,Số tự nhiên
vro,Tüküarv
lzh,自然數
vls,Natuurlik getal
war,Unob nga ihap
wuu,自然数
yi,נאטירלעכע צאל
yo,Nọ́mbà àdábáyé
yue,自然數
sgs,Natūralė̄jė skaitlē
zh,自然数
