Language,Title
en,Negation
ar,نفي (رياضيات)
az,İnkar
bg,Отрицание
ca,Negació lògica
cs,Negace
da,Negation
de,Negation
et,Eitus
egl,Negasiòun (matemàtica)
es,Negación lógica
eo,Logika neo
eu,Ukapen
fa,نقیض
fr,Négation logique
ko,부정 (논리학)
hy,Ժխտում (տրամաբանություն)
hi,निषेध (तर्क)
hr,Negacija
id,Negasi
it,Negazione (matematica)
he,לא (לוגיקה)
kk,Терістеу
la,Negatio
hu,Negáció
mk,Негација
ms,Negasi
nl,Logische negatie
ja,否定
nb,Negasjon
pms,Negassion
pl,Negacja
pt,Negação
ru,Отрицание
sq,Negacioni
en-simple,Logical negation
sk,Negácia (logika)
sl,Negacija
ckb,نەرێکردن
sr,Логичка негација
sh,Logička negacija
sv,Negation
tl,Negasyon
th,นิเสธ
tg,Инкор
tr,Tümleme (mantık)
uk,Заперечення
yue,邏輯非
zh,逻辑非
