Language,Title
en,Non-Euclidean geometry
gsw,Nicht-euklidische Geometrie
ar,هندسة لاإقليدية
ast,Xeometríes non euclídees
ba,Евклидтыҡы булмаған геометрия
bg,Неевклидова геометрия
ca,Geometria no euclidiana
cv,Евклидла мар геометри
cs,Neeukleidovská geometrie
da,Ikke-euklidisk geometri
de,Nichteuklidische Geometrie
et,Mitteeukleidiline geomeetria
el,Μη ευκλείδειες γεωμετρίες
es,Geometría no euclidiana
eo,Neeŭklidaj geometrioj
eu,Geometria ez-euklidear
fa,هندسه نااقلیدسی
fr,Géométrie non euclidienne
ga,Geoiméadrachtaí neamh-Eoiclídéacha
gl,Xeometría non euclidiana
ko,비유클리드 기하학
hy,Ոչ էվկլիդեսյան երկրաչափություն
hi,अयूक्लिडीय ज्यामिति
id,Geometri non-Euklides
is,Óevklíðsk rúmfræði
it,Geometria non euclidea
he,גאומטריה לא-אוקלידית
ka,არაევკლიდური გეომეტრია
lt,Neeuklidinė geometrija
lfn,Jeometria noneuclidal
hu,Nemeuklideszi geometria
nl,Niet-euclidische meetkunde
ja,非ユークリッド幾何学
nb,Ikke-euklidsk geometri
nn,Ikkje-evklidsk geometri
pl,Geometria nieeuklidesowa
pt,Geometria não euclidiana
ro,Geometrii neeuclidiene
ru,Неевклидова геометрия
en-simple,Non-Euclidean geometry
sk,Neeuklidovská geometria
sl,Neevklidska geometrija
sr,Neeuklidska geometrija
sh,Neeuklidska geometrija
fi,Epäeuklidinen geometria
sv,Icke-euklidisk geometri
tt,Евклидныкы булмаган геометрия
tg,Ҳандасаи ноуқлидусӣ
tr,Öklid dışı geometri
uk,Неевклідова геометрія
vi,Hình học phi Euclid
wuu,非欧几里得几何
yue,非歐幾里得幾何
zh,非欧几里得几何
